code_id,decoder,trials,false_alarm_rate,median_wall_overhead_ratio,p99_wall_overhead_ratio,bler
BCH64_45,event_ls_first,500,0.0,1.0056878398070541,1.0061012097387427,0.0
BCH64_45,event_ls_adaptive_l2,500,0.0,1.0056878398070541,1.0061012097387427,0.0
BCH64_45,event_state_sweep_osd,500,0.0,1.0056878398070541,1.0061012097387427,0.0
BCH64_45,event_state_sweep_chase_bch,500,0.0,1.0056878398070541,1.0061012097387427,0.0
POLAR64_48,event_ls_first,500,0.0,1.0042687206101513,1.0050803326687507,0.0
POLAR64_48,event_ls_adaptive_l2,500,0.0,1.0042687206101513,1.0050803326687507,0.0
POLAR64_48,event_state_sweep_osd,500,0.0,1.0042687206101513,1.0050803326687507,0.0
POLAR64_48,event_state_sweep_polar_scflip,500,0.0,1.0042687206101513,1.0050803326687507,0.0
RANDOM64_48,event_ls_first,500,0.002,1.002796857899703,1.0022283327112536,0.0
RANDOM64_48,event_ls_adaptive_l2,500,0.002,1.002796857899703,1.0022283327112536,0.0
RANDOM64_48,event_state_sweep_osd,500,0.002,1.002796857899703,1.0205918403429062,0.0
