code_id,decoder,physical_slip_probability,unconditional_bler,mean_wall_seconds,p99_wall_seconds,p999_wall_seconds,mean_components_generated,p99_components_generated,p999_components_generated
BCH64_45,event_ls_adaptive_l2,0.0001,5e-07,0.008411188174141094,0.012483243132010102,0.013759292080067098,22.070289999999993,22.0,22.0
BCH64_45,event_ls_adaptive_l2,0.001,5e-06,0.008425027021993766,0.012483243132010102,0.013759292080067098,22.702900000000014,22.0,22.0
BCH64_45,event_ls_adaptive_l2,0.01,5.0000000000000016e-05,0.008563415500520498,0.012645074049942195,0.017885679029859602,29.029000000000025,22.0,323.0
BCH64_45,event_ls_first,0.0001,5e-07,0.008410145465141385,0.012483243132010102,0.013759292080067098,22.010524999999994,22.0,22.0
BCH64_45,event_ls_first,0.001,5e-06,0.008414599931996666,0.012483243132010102,0.013759292080067098,22.105250000000012,22.0,22.0
BCH64_45,event_ls_first,0.01,5.0000000000000016e-05,0.008459144600549483,0.01275876013096422,0.017297618906013668,23.052500000000023,22.0,240.0
BCH64_45,event_state_sweep_chase_bch,0.0001,5e-07,0.008417754955436672,0.012483243132010102,0.013759292080067098,22.02229149999998,22.0,22.0
BCH64_45,event_state_sweep_chase_bch,0.001,5e-06,0.008490694834949566,0.012483243132010102,0.013759292080067098,22.222915000000025,22.0,22.0
BCH64_45,event_state_sweep_chase_bch,0.01,5.0000000000000016e-05,0.009220093630078483,0.013759292080067098,0.09957489790394902,24.22915000000004,22.0,253.0
BCH64_45,event_state_sweep_osd,0.0001,7.149999999999999e-05,0.008430277449126458,0.012483243132010102,0.013759292080067098,22.028563999999996,22.0,22.0
BCH64_45,event_state_sweep_osd,0.001,0.0007150000000000001,0.008615919771847433,0.012483243132010102,0.013759292080067098,22.28564000000001,22.0,22.0
BCH64_45,event_state_sweep_osd,0.01,0.00715,0.010472342999057149,0.013759292080067098,0.24629384488798678,24.856400000000008,22.0,318.0
BCH64_45,normal_code_decoder,0.0001,9.65e-05,0.008354491120335842,0.01234204403590411,0.013668850064277649,21.999999999999996,22.0,22.0
BCH64_45,normal_code_decoder,0.001,0.0009650000000000001,0.008354383952601,0.01234204403590411,0.013668850064277649,22.000000000000014,22.0,22.0
BCH64_45,normal_code_decoder,0.01,0.009649999999999999,0.00835331227525254,0.01234204403590411,0.013668850064277649,22.000000000000046,22.0,22.0
POLAR64_48,event_ls_adaptive_l2,0.0001,1e-06,0.009256905683859213,0.014287889003753662,0.015997359063476324,5.024780999999998,5.0,5.0
POLAR64_48,event_ls_adaptive_l2,0.001,1e-05,0.009263535225139584,0.014287889003753662,0.015997359063476324,5.247810000000001,5.0,5.0
POLAR64_48,event_ls_adaptive_l2,0.01,0.00010000000000000003,0.009329830637943234,0.014495731913484633,0.016262246877886355,7.478100000000001,5.0,95.0
POLAR64_48,event_ls_first,0.0001,1e-06,0.00925658567521171,0.014287889003753662,0.015997359063476324,5.004797499999999,5.0,5.0
POLAR64_48,event_ls_first,0.001,1e-05,0.009260335138664465,0.014287889003753662,0.015997359063476324,5.047975000000001,5.0,5.0
POLAR64_48,event_ls_first,0.01,0.00010000000000000003,0.009297829773192063,0.014495731913484633,0.01765412208624184,5.479750000000001,5.0,92.0
POLAR64_48,event_state_sweep_osd,0.0001,7.799999999999999e-05,0.009282981228925603,0.014287889003753662,0.015997359063476324,5.0287120000000005,5.0,5.0
POLAR64_48,event_state_sweep_osd,0.001,0.0007800000000000001,0.009524290675803435,0.014287889003753662,0.015997359063476324,5.287119999999995,5.0,5.0
POLAR64_48,event_state_sweep_osd,0.01,0.0078,0.011937385144581786,0.015997359063476324,0.3257621459197253,7.871199999999998,5.0,301.0
POLAR64_48,event_state_sweep_polar_scflip,0.0001,1e-06,0.00927720092781228,0.014287889003753662,0.015997359063476324,5.030555,5.0,5.0
POLAR64_48,event_state_sweep_polar_scflip,0.001,1e-05,0.009466487664670222,0.014287889003753662,0.015997359063476324,5.305549999999997,5.0,5.0
POLAR64_48,event_state_sweep_polar_scflip,0.01,0.00010000000000000003,0.011359355033249596,0.015997359063476324,0.25227892003022134,8.055500000000006,5.0,320.0
POLAR64_48,normal_code_decoder,0.0001,9.8e-05,0.009214802501352724,0.014237929019145668,0.015947260078974068,5.000000000000001,5.0,5.0
POLAR64_48,normal_code_decoder,0.001,0.0009800000000000002,0.009214888131732471,0.014237929019145668,0.015947260078974068,4.999999999999999,5.0,5.0
POLAR64_48,normal_code_decoder,0.01,0.009800000000000001,0.009215744435529928,0.014237929019145668,0.015947260078974068,5.000000000000001,5.0,5.0
RANDOM64_48,event_ls_adaptive_l2,0.0001,2.9999999999999997e-06,0.024099634022526246,0.037735491059720516,0.04276169999502599,37.0872944,37.0,40.0
RANDOM64_48,event_ls_adaptive_l2,0.001,3.0000000000000004e-05,0.024117179685084034,0.037735491059720516,0.04276169999502599,37.818944,37.0,40.0
RANDOM64_48,event_ls_adaptive_l2,0.01,0.0003000000000000001,0.024292636310661916,0.037735491059720516,0.04276169999502599,45.135440000000024,40.0,338.0
RANDOM64_48,event_ls_first,0.0001,2.9999999999999997e-06,0.02410384729498252,0.037735491059720516,0.04276169999502599,37.0182674,37.0,40.0
RANDOM64_48,event_ls_first,0.001,3.0000000000000004e-05,0.024110443506455054,0.037735491059720516,0.04276169999502599,37.128674,37.0,40.0
RANDOM64_48,event_ls_first,0.01,0.0003000000000000001,0.024176405621180317,0.037735491059720516,0.04276169999502599,38.232740000000014,40.0,250.0
RANDOM64_48,event_state_sweep_osd,0.0001,7.799999999999999e-05,0.024462970061607844,0.03817351697944105,0.20101486309431493,37.620504800000006,37.0,333.0
RANDOM64_48,event_state_sweep_osd,0.001,0.0007800000000000001,0.024642848355771987,0.03817351697944105,0.20101486309431493,37.877048000000045,37.0,333.0
RANDOM64_48,event_state_sweep_osd,0.01,0.0078000000000000005,0.026441631297413264,0.20101486309431493,0.2634844130370766,40.442479999999975,333.0,333.0
RANDOM64_48,normal_code_decoder,0.0001,9.9e-05,0.024030016267034226,0.037089331075549126,0.042698179953731596,37.000000000000014,37.0,37.0
RANDOM64_48,normal_code_decoder,0.001,0.0009900000000000002,0.024031765432469553,0.037089331075549126,0.042698179953731596,37.00000000000004,37.0,37.0
RANDOM64_48,normal_code_decoder,0.01,0.0099,0.02404925708682277,0.037089331075549126,0.042698179953731596,37.00000000000002,37.0,37.0
