code_id,alarm_rate_no_slip,trials_no_slip,alarm_rate_slip_early,trials_slip_early,alarm_rate_slip_uniform,trials_slip_uniform
BCH64_45,0.0,500,0.99,100,0.94,100
POLAR64_48,0.0,500,0.99,100,0.95,100
RANDOM64_48,0.002,500,0.97,100,0.96,100
