gate,pass,g0_commit,g3p_commit,field_defining_authorized,exact_route_status,measured_hardware_trace,standard_derived_viterbi_viterbi_trace,observed_one_slip_frames,total_frames_generated,one_slip_rate,one_slip_rate_low,one_slip_rate_high,trace_parameters,structured_codes,unsafe,details,qualifying_codes,qualifying_modes_by_code,ideal_pilot_is_optimistic_bound,validator_required
G0_CHAIN_LOCK,True,0d2866b091576fe07521172378ded33da79ed545,5edb4083ec30d44061f0020a2701fd189f87df23,False,STOPPED_AS_PRIMARY_ROUTE,,,,,,,,,,,,,,,
P1_STANDARD_DERIVED_TRACE,True,,,,,False,True,37.0,500.0,0.074,0.05263510854899523,0.10055887474646992,"{'total_frames_generated': 500, 'no_slip_collected': 50, 'one_slip_collected': 5, 'other_collected': 2, 'observed_no_slip_frames': 447, 'observed_one_slip_frames': 37, 'observed_other_frames': 16, 'one_slip_rate_point_estimate': 0.074, 'symbol_rate_baud': 28000000000.0, 'combined_linewidth_hz': 20000000.0, 'normalized_linewidth': 0.0007142857142857143, 'phase_innovation_std_rad': 0.06699245856906788, 'snr_db': 7.0, 'vv_window': 9, 'warmup_symbols': 32, 'payload_symbols': 35, 'median_min_cpe_confidence_no_slip': 0.1763885937879573, 'median_min_cpe_confidence_one_slip': 0.06374114737744103, 'one_slip_rate_low': 0.05263510854899523, 'one_slip_rate_high': 0.10055887474646992, 'source_anchor': {'status': 'smoke-only standard-derived trace'}}",,,,,,,
P2_ORBIT_SAFETY,True,,,,,,,,,,,,,"['BCH64_45', 'POLAR64_48']",[],,,,,
P3_EVENT_TRIGGER,True,,,,,,,,,,,,,,,"[{'code_id': 'BCH64_45', 'false_alarm_rate': 0.2, 'false_alarm_upper': 0.4366140029966683, 'one_slip_detection_rate': 1.0, 'one_slip_detection_lower': 0.47817624989501856, 'qualifies': True}, {'code_id': 'POLAR64_48', 'false_alarm_rate': 0.05, 'false_alarm_upper': 0.24873276277202777, 'one_slip_detection_rate': 0.8, 'one_slip_detection_lower': 0.28358206388191054, 'qualifies': True}]",,,,
P4_STRONG_MATCHED_RECOVERY,False,,,,,,,,,,,,,,,"[{'code_id': 'BCH64_45', 'family': 'extended_bch', 'candidate': 'event_ls_first', 'baseline': 'event_full_code_specific', 'paired_trials': 1, 'eligible_work_pairs': 1, 'candidate_bler': 0.0, 'candidate_bler_low': 0.0, 'candidate_bler_high': 0.7934506856227626, 'candidate_cap_rate': 0.0, 'candidate_minus_baseline_error_rate': 0.0, 'error_diff_low': 0.0, 'error_diff_high': 0.0, 'baseline_to_candidate_wall_median_ratio': 2.0928392163502023, 'wall_ratio_low': 2.0928392163502023, 'wall_ratio_high': 2.0928392163502023, 'baseline_to_candidate_component_median_ratio': 0.15873015873015872, 'component_ratio_low': 0.15873015873015872, 'component_ratio_high': 0.15873015873015872, 'baseline_to_candidate_p99_wall_ratio': 2.0928392163502023, 'mcnemar': '{""a_only_errors"": 0, ""b_only_errors"": 0, ""discordant"": 0, ""p_a_better"": 1.0}', 'qualifies': True, 'qualification_route': 'speed'}, {'code_id': 'BCH64_45', 'family': 'extended_bch', 'candidate': 'event_ls_first', 'baseline': 'event_posterior_pruned_code_specific', 'paired_trials': 5, 'eligible_work_pairs': 5, 'candidate_bler': 0.0, 'candidate_bler_low': 0.0, 'candidate_bler_high': 0.43448246478317476, 'candidate_cap_rate': 0.0, 'candidate_minus_baseline_error_rate': -0.8, 'error_diff_low': -1.0, 'error_diff_high': -0.4950000000000017, 'baseline_to_candidate_wall_median_ratio': 1.3207923716944336, 'wall_ratio_low': 0.199869193135202, 'wall_ratio_high': 1.5014298603809604, 'baseline_to_candidate_component_median_ratio': 0.16666666666666666, 'component_ratio_low': 0.00744047619047619, 'component_ratio_high': 0.6, 'baseline_to_candidate_p99_wall_ratio': 0.21239898181026343, 'mcnemar': '{""a_only_errors"": 0, ""b_only_errors"": 4, ""discordant"": 4, ""p_a_better"": 0.0625}', 'qualifies': True, 'qualification_route': 'reliability'}, {'code_id': 'BCH64_45', 'family': 'extended_bch', 'candidate': 'event_ls_first', 'baseline': 'event_state_marginal_code_specific', 'paired_trials': 5, 'eligible_work_pairs': 5, 'candidate_bler': 0.0, 'candidate_bler_low': 0.0, 'candidate_bler_high': 0.43448246478317476, 'candidate_cap_rate': 0.0, 'candidate_minus_baseline_error_rate': -0.8, 'error_diff_low': -1.0, 'error_diff_high': -0.4, 'baseline_to_candidate_wall_median_ratio': 1.155445616433672, 'wall_ratio_low': 0.22521134830568934, 'wall_ratio_high': 1.6314663918336256, 'baseline_to_candidate_component_median_ratio': 0.1111111111111111, 'component_ratio_low': 0.00496031746031746, 'component_ratio_high': 0.4, 'baseline_to_candidate_p99_wall_ratio': 0.2700320647038236, 'mcnemar': '{""a_only_errors"": 0, ""b_only_errors"": 4, ""discordant"": 4, ""p_a_better"": 0.0625}', 'qualifies': True, 'qualification_route': 'reliability'}, {'code_id': 'BCH64_45', 'family': 'extended_bch', 'candidate': 'event_ls_adaptive_l2', 'baseline': 'event_full_code_specific', 'paired_trials': 1, 'eligible_work_pairs': 0, 'candidate_bler': 0.0, 'candidate_bler_low': 0.0, 'candidate_bler_high': 0.7934506856227626, 'candidate_cap_rate': 1.0, 'candidate_minus_baseline_error_rate': 0.0, 'error_diff_low': 0.0, 'error_diff_high': 0.0, 'baseline_to_candidate_wall_median_ratio': nan, 'wall_ratio_low': nan, 'wall_ratio_high': nan, 'baseline_to_candidate_component_median_ratio': nan, 'component_ratio_low': nan, 'component_ratio_high': nan, 'baseline_to_candidate_p99_wall_ratio': 0.9000208370638301, 'mcnemar': '{""a_only_errors"": 0, ""b_only_errors"": 0, ""discordant"": 0, ""p_a_better"": 1.0}', 'qualifies': False, 'qualification_route': 'none'}, {'code_id': 'BCH64_45', 'family': 'extended_bch', 'candidate': 'event_ls_adaptive_l2', 'baseline': 'event_posterior_pruned_code_specific', 'paired_trials': 5, 'eligible_work_pairs': 4, 'candidate_bler': 0.0, 'candidate_bler_low': 0.0, 'candidate_bler_high': 0.43448246478317476, 'candidate_cap_rate': 0.2, 'candidate_minus_baseline_error_rate': -0.8, 'error_diff_low': -1.0, 'error_diff_high': -0.4950000000000017, 'baseline_to_candidate_wall_median_ratio': 1.3860181968856349, 'wall_ratio_low': 0.7287784415756428, 'wall_ratio_high': 1.4856742453761607, 'baseline_to_candidate_component_median_ratio': 0.35119047619047616, 'component_ratio_low': 0.05725190839694656, 'component_ratio_high': 0.6, 'baseline_to_candidate_p99_wall_ratio': 0.09185120251530988, 'mcnemar': '{""a_only_errors"": 0, ""b_only_errors"": 4, ""discordant"": 4, ""p_a_better"": 0.0625}', 'qualifies': True, 'qualification_route': 'reliability'}, {'code_id': 'BCH64_45', 'family': 'extended_bch', 'candidate': 'event_ls_adaptive_l2', 'baseline': 'event_state_marginal_code_specific', 'paired_trials': 5, 'eligible_work_pairs': 4, 'candidate_bler': 0.0, 'candidate_bler_low': 0.0, 'candidate_bler_high': 0.43448246478317476, 'candidate_cap_rate': 0.2, 'candidate_minus_baseline_error_rate': -0.8, 'error_diff_low': -1.0, 'error_diff_high': -0.4, 'baseline_to_candidate_wall_median_ratio': 1.2070922441572307, 'wall_ratio_low': 1.0698069870360236, 'wall_ratio_high': 1.5470990416033437, 'baseline_to_candidate_component_median_ratio': 0.23412698412698413, 'component_ratio_low': 0.03816793893129771, 'component_ratio_high': 0.37857142857142856, 'baseline_to_candidate_p99_wall_ratio': 0.11677442918673944, 'mcnemar': '{""a_only_errors"": 0, ""b_only_errors"": 4, ""discordant"": 4, ""p_a_better"": 0.0625}', 'qualifies': True, 'qualification_route': 'speed'}]",['BCH64_45'],"{'BCH64_45': ['event_ls_first'], 'POLAR64_48': []}",,
P5_NO_SLIP_NEUTRALITY,True,,,,,,,,,,,,,,,"[{'code_id': 'BCH64_45', 'decoder': 'event_ls_first', 'trials': 20, 'false_alarm_rate': 0.2, 'false_alarm_low': 0.05733399705003278, 'false_alarm_high': 0.4366140029966683, 'median_wall_overhead_ratio': 1.0833275688795747, 'p99_wall_overhead_ratio': 57.44208846016277, 'bler': 0.05, 'qualifies': True}, {'code_id': 'BCH64_45', 'decoder': 'event_ls_adaptive_l2', 'trials': 20, 'false_alarm_rate': 0.2, 'false_alarm_low': 0.05733399705003278, 'false_alarm_high': 0.4366140029966683, 'median_wall_overhead_ratio': 1.0833275688795747, 'p99_wall_overhead_ratio': 54.03947287256857, 'bler': 0.05, 'qualifies': True}, {'code_id': 'POLAR64_48', 'decoder': 'event_ls_first', 'trials': 20, 'false_alarm_rate': 0.05, 'false_alarm_low': 0.0012650894979498047, 'false_alarm_high': 0.24873276277202777, 'median_wall_overhead_ratio': 1.0155692907647917, 'p99_wall_overhead_ratio': 39.383037057917974, 'bler': 0.05, 'qualifies': True}, {'code_id': 'POLAR64_48', 'decoder': 'event_ls_adaptive_l2', 'trials': 20, 'false_alarm_rate': 0.05, 'false_alarm_low': 0.0012650894979498047, 'false_alarm_high': 0.24873276277202777, 'median_wall_overhead_ratio': 1.0155692907647917, 'p99_wall_overhead_ratio': 39.37857581075058, 'bler': 0.05, 'qualifies': True}]",,"{'BCH64_45': ['event_ls_first', 'event_ls_adaptive_l2'], 'POLAR64_48': ['event_ls_first', 'event_ls_adaptive_l2']}",,
P6_OBSERVED_TRACE_MIXTURE,False,,,,,False,,,,,,,,,,"[{'code_id': 'BCH64_45', 'candidate': 'event_ls_first', 'observed_one_slip_probability': 0.074, 'unconditional_bler': 0.0463, 'mean_wall_seconds': 0.023243721074138735, 'baseline_checks': [{'baseline': 'event_full_code_specific', 'qualification_route': 'speed', 'conditional_p99_wall_ratio': 2.158498790050142, 'candidate_conditional_slip_bler': 0.0, 'baseline_conditional_slip_bler': 0.0, 'qualifies': True}, {'baseline': 'event_posterior_pruned_code_specific', 'qualification_route': 'reliability', 'conditional_p99_wall_ratio': 0.21239898181026343, 'candidate_conditional_slip_bler': 0.0, 'baseline_conditional_slip_bler': 0.8, 'qualifies': True}, {'baseline': 'event_state_marginal_code_specific', 'qualification_route': 'reliability', 'conditional_p99_wall_ratio': 0.2700320647038236, 'candidate_conditional_slip_bler': 0.0, 'baseline_conditional_slip_bler': 0.8, 'qualifies': True}], 'qualifies': True}]",,"{'BCH64_45': ['event_ls_first'], 'POLAR64_48': []}",,
P7_RATE_ACCOUNTED_CONTROLS,False,,,,,,,,,,,,,,,"[{'code_id': 'BCH64_45', 'candidate': 'event_ls_first', 'candidate_goodput': 1.341140625, 'ideal_pilot_goodput': 1.315096875, 'goodput_ratio': 1.0198036741589853, 'qualifies': True}]",['BCH64_45'],,True,
P8_REPRODUCIBILITY,True,,,,,,,,,,,,,,,,,,,True
