code_id,family,candidate,baseline,paired_trials,eligible_work_pairs,candidate_bler,candidate_bler_low,candidate_bler_high,candidate_cap_rate,candidate_minus_baseline_error_rate,error_diff_low,error_diff_high,baseline_to_candidate_wall_median_ratio,wall_ratio_low,wall_ratio_high,baseline_to_candidate_component_median_ratio,component_ratio_low,component_ratio_high,baseline_to_candidate_p99_wall_ratio,mcnemar
BCH64_45,extended_bch,event_ls_first,event_full_code_specific,240,240,0.008333333333333333,0.0022882832869742294,0.029869737988891934,0.0,-0.004166666666666667,-0.0125,0.0,27.112239855485214,21.67528093771097,30.597574827723736,3.9836724240047383,2.1746131472864367,5.818281167289927,0.370910053486873,"{""a_only_errors"": 0, ""b_only_errors"": 1, ""discordant"": 1, ""p_a_better"": 0.5}"
BCH64_45,extended_bch,event_ls_adaptive_l2,event_full_code_specific,240,208,0.029166666666666667,0.014198730672500263,0.05896954393913429,0.13333333333333333,0.016666666666666666,0.004166666666666667,0.03333333333333333,28.352279405142024,22.43758515338658,33.60734626621344,5.343472750316856,2.777120315581854,7.48936170212766,0.4975406127711931,"{""a_only_errors"": 4, ""b_only_errors"": 0, ""discordant"": 4, ""p_a_better"": 1.0}"
BCH64_45,extended_bch,event_ls_first,event_posterior_pruned_code_specific,300,300,0.06,0.038286369524692054,0.09283944515290843,0.0,-0.7466666666666667,-0.7933333333333333,-0.6966666666666667,1.5585142780423125,1.1946689253545384,2.0035502162175485,0.6470588235294118,0.45174728462524455,0.986566924066924,0.038544410942970155,"{""a_only_errors"": 0, ""b_only_errors"": 224, ""discordant"": 224, ""p_a_better"": 3.7092061506874214e-68}"
BCH64_45,extended_bch,event_ls_adaptive_l2,event_posterior_pruned_code_specific,300,268,0.07666666666666666,0.051627611786607464,0.1124101038501748,0.10666666666666667,-0.73,-0.7766666666666666,-0.68,1.6467998521878062,1.1995329567341535,1.9711776950465616,0.9286833855799372,0.6048521103356597,1.0,0.05095824743186888,"{""a_only_errors"": 0, ""b_only_errors"": 219, ""discordant"": 219, ""p_a_better"": 1.1869459682199748e-66}"
BCH64_45,extended_bch,event_ls_first,event_state_marginal_code_specific,300,300,0.06,0.038286369524692054,0.09283944515290843,0.0,-0.7633333333333333,-0.81,-0.7166666666666667,1.0,1.0,1.3046122163292315,0.34705882352941175,0.2423008162989948,0.5315746753246753,0.0238651323578301,"{""a_only_errors"": 0, ""b_only_errors"": 229, ""discordant"": 229, ""p_a_better"": 1.1591269220898192e-69}"
BCH64_45,extended_bch,event_ls_adaptive_l2,event_state_marginal_code_specific,300,268,0.07666666666666666,0.051627611786607464,0.1124101038501748,0.10666666666666667,-0.7466666666666667,-0.7966666666666666,-0.7,1.0518084576041111,1.0,1.3674662301111065,0.49811199772014814,0.3244206773618538,0.6704545454545454,0.031551275267482255,"{""a_only_errors"": 0, ""b_only_errors"": 224, ""discordant"": 224, ""p_a_better"": 3.7092061506874214e-68}"
BCH64_45,extended_bch,event_ls_first,event_full_state_osd,15,15,0.0,0.0,0.20388330103584862,0.0,0.0,0.0,0.0,120.3062135964749,44.769265687512714,145.46070186850068,21.005917159763314,2.6315789473684212,53.78787878787879,6.352072148185799,"{""a_only_errors"": 0, ""b_only_errors"": 0, ""discordant"": 0, ""p_a_better"": 1.0}"
BCH64_45,extended_bch,event_ls_adaptive_l2,event_full_state_osd,15,14,0.0,0.0,0.20388330103584862,0.06666666666666667,0.0,0.0,0.0,125.71708620547719,80.21458424279638,136.71747483185422,27.24824159874958,3.9798206278026904,48.46631205673759,1.8848073412932782,"{""a_only_errors"": 0, ""b_only_errors"": 0, ""discordant"": 0, ""p_a_better"": 1.0}"
BCH64_45,extended_bch,event_ls_first,dqpsk_control,300,300,0.06,0.038286369524692054,0.09283944515290843,0.0,-0.20333333333333334,-0.25666666666666665,-0.14666666666666667,0.5571541463323824,0.5073226514001649,0.6149384795009623,0.3176470588235294,0.22131147540983606,0.4909090909090909,0.009546465096647947,"{""a_only_errors"": 14, ""b_only_errors"": 75, ""discordant"": 89, ""p_a_better"": 1.5054551793188342e-11}"
BCH64_45,extended_bch,event_ls_adaptive_l2,dqpsk_control,300,268,0.07666666666666666,0.051627611786607464,0.1124101038501748,0.10666666666666667,-0.18666666666666668,-0.24,-0.13,0.6115476177452167,0.5659738144625277,0.6775975951192663,0.45589911655742377,0.2887700534759358,0.6136363636363636,0.012621055001060021,"{""a_only_errors"": 15, ""b_only_errors"": 71, ""discordant"": 86, ""p_a_better"": 3.538028595472418e-10}"
