code_id,family,n,k,rate,condition,decoder,total_transmitted_symbols,trials,errors,bler,bler_low,bler_high,alarm_rate,cap_rate,success_rate,net_information_bits_per_symbol,median_components_generated,p90_components_generated,p99_components_generated,mean_components_generated,median_membership_queries,p90_membership_queries,p99_membership_queries,mean_membership_queries,median_latent_queues_touched,p90_latent_queues_touched,p99_latent_queues_touched,mean_latent_queues_touched,median_queue_touch_fraction,p90_queue_touch_fraction,p99_queue_touch_fraction,mean_queue_touch_fraction,median_valid_witnesses,p90_valid_witnesses,p99_valid_witnesses,mean_valid_witnesses,median_unique_candidates,p90_unique_candidates,p99_unique_candidates,mean_unique_candidates,median_complete_marginal_candidates,p90_complete_marginal_candidates,p99_complete_marginal_candidates,mean_complete_marginal_candidates,median_state_word_metric_evals,p90_state_word_metric_evals,p99_state_word_metric_evals,mean_state_word_metric_evals,median_bit_metric_accumulations,p90_bit_metric_accumulations,p99_bit_metric_accumulations,mean_bit_metric_accumulations,median_osd_reprocessings,p90_osd_reprocessings,p99_osd_reprocessings,mean_osd_reprocessings,median_bch_decode_attempts,p90_bch_decode_attempts,p99_bch_decode_attempts,mean_bch_decode_attempts,median_preprocessing_state_metrics,p90_preprocessing_state_metrics,p99_preprocessing_state_metrics,mean_preprocessing_state_metrics,median_wall_seconds,p90_wall_seconds,p99_wall_seconds,mean_wall_seconds,median_first_component_gap,p90_first_component_gap,p99_first_component_gap,mean_first_component_gap
POLAR64_48,polar,64,48,0.75,trace_no_slip,event_state_marginal_code_specific,32,10000,7,0.0007,0.0003391263316879597,0.0014443344412696886,0.0002,0.0,1.0,1.5,9.0,9.0,9.0,9.0018,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0124,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0018,9.0,9.0,9.0,9.0018,9.0,9.0,9.0,9.0018,9.0,9.0,9.0,9.1134,576.0,576.0,576.0,584.8704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.6128,0.002602908993139863,0.006073193368501962,0.008658295479835943,0.003583134532079566,,,,
POLAR64_48,polar,64,48,0.75,trace_no_slip,normal_code_decoder,32,10000,7,0.0007,0.0003391263316879597,0.0014443344412696886,0.0,0.0,1.0,1.5,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,576.0,576.0,576.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0025892150006256998,0.006018442369531841,0.008590110796503727,0.0035594188081449827,,,,
POLAR64_48,polar,64,48,0.75,trace_one_slip,dqpsk_control,33,300,167,0.5566666666666666,0.5000873808268701,0.6118130824343481,0.0,0.0,1.0,1.4545454545454546,41.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,576.0,576.0,576.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.002602308988571167,0.002860405598767102,0.003352452669059857,0.0026263497754310566,,,,
POLAR64_48,polar,64,48,0.75,trace_one_slip,event_full_code_specific,32,169,12,0.07100591715976332,0.04108185594559849,0.11999905028290586,1.0,0.0,1.0,1.5,576.0,576.0,576.0,576.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,63.0,1.0,1.0,1.0,1.0,515.0,527.2,534.3199999999999,514.9349112426036,515.0,527.2,534.3199999999999,514.9349112426036,515.0,527.2,534.3199999999999,514.9349112426036,31887.0,32655.600000000002,33104.159999999996,31882.899408284025,2040768.0,2089958.4000000001,2118666.2399999998,2040505.5621301776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,64.0,64.0,0.16187402897048742,0.174746984615922,0.18890040116384624,0.16269816023975434,,,,
POLAR64_48,polar,64,48,0.75,trace_one_slip,event_full_state_osd,32,12,1,0.08333333333333333,0.014865094404917095,0.35387991114111694,1.0,0.0,1.0,1.5,3537.0,3537.0,3537.0,3537.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,63.0,1.0,1.0,1.0,1.0,2565.0,2628.6,2688.18,2568.6666666666665,2565.0,2628.6,2688.18,2568.6666666666665,2565.0,2628.6,2688.18,2568.6666666666665,161037.0,165043.8,168797.34,161268.0,10306368.0,10562803.2,10803029.76,10321152.0,3528.0,3528.0,3528.0,3528.0,0.0,0.0,0.0,0.0,64.0,64.0,64.0,64.0,0.913755651563406,1.010880753432866,1.0213691463612486,0.9131442809593864,,,,
POLAR64_48,polar,64,48,0.75,trace_one_slip,event_ls_adaptive_l2,32,300,117,0.39,0.3365300216309911,0.446251432038409,0.5633333333333334,0.016666666666666666,0.9933333333333333,1.5,38.0,5896.200000000006,50009.0,2738.096666666667,29.0,5562.600000000004,44757.64,2488.43,28.5,63.0,63.0,31.586666666666666,1.0,1.0,1.0,0.931111111111111,10.0,10.0,14.0,9.723333333333333,10.0,10.0,11.0,9.6,10.0,10.0,11.0,9.6,72.0,72.0,135.0,46.8,4608.0,4608.0,8640.0,2995.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,64.0,36.49,0.0038877634215168655,0.04276242138585086,0.39272350376239046,0.02385621303071578,0.0032122559008946894,0.2470875613665321,0.6489737502041721,0.07894228887724489
POLAR64_48,polar,64,48,0.75,trace_one_slip,event_ls_first,32,300,116,0.38666666666666666,0.3333235932848012,0.44287548019276246,0.5633333333333334,0.0,1.0,1.5,35.5,3371.3000000000015,36978.33999999999,1628.07,26.5,3157.400000000002,33327.69999999999,1484.68,23.0,63.0,63.0,31.19,1.0,1.0,1.0,0.9248148148148149,10.0,10.0,10.0,9.563333333333333,10.0,10.0,10.0,9.563333333333333,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,576.0,576.0,576.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,64.0,36.49,0.004012117045931518,0.0287543529062532,0.3385591871547509,0.015853935858855646,0.0,0.0,0.0,0.0
POLAR64_48,polar,64,48,0.75,trace_one_slip,event_posterior_pruned_code_specific,32,300,268,0.8933333333333333,0.8532967116826325,0.9234241509540578,0.5633333333333334,0.0,1.0,1.5,45.0,45.0,45.0,29.28,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.69,0.06349206349206349,1.0,1.0,0.47243386243386226,41.0,45.0,45.0,28.136666666666667,41.0,45.0,45.0,28.136666666666667,41.0,45.0,45.0,28.136666666666667,2025.0,2277.0,2277.0,1214.61,129600.0,145728.0,145728.0,77735.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,64.0,36.49,0.013047716522123665,0.014692678872961551,0.016121884163003412,0.009018817998391266,,,,
POLAR64_48,polar,64,48,0.75,trace_one_slip,event_state_marginal_code_specific,32,300,271,0.9033333333333333,0.8646182980304887,0.9318497051817106,0.5633333333333334,0.0,1.0,1.5,18.0,18.0,18.0,14.07,0.0,0.0,0.0,0.0,63.0,63.0,63.0,35.92666666666667,1.0,1.0,1.0,1.0,18.0,18.0,18.0,14.07,18.0,18.0,18.0,14.07,18.0,18.0,18.0,14.07,576.0,576.0,576.0,328.41,44928.0,44928.0,44928.0,25560.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8065.0,8065.0,8065.0,4543.72,0.0071870359242893755,0.008228043641429395,0.009420238590100778,0.005526260720022644,,,,
POLAR64_48,polar,64,48,0.75,trace_one_slip,normal_code_decoder,32,300,273,0.91,0.8722229892013517,0.9374097743945206,0.0,0.0,1.0,1.5,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,576.0,576.0,576.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0025168494903482497,0.002776295877993107,0.0033019840694032596,0.0025481943894798556,,,,
POLAR64_48,polar,64,48,0.75,trace_other,event_full_code_specific,32,12,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,1.0,0.0,1.0,1.5,576.0,576.0,576.0,576.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,63.0,1.0,1.0,1.0,1.0,521.0,534.9,542.12,520.0,521.0,534.9,542.12,520.0,521.0,534.9,542.12,520.0,32265.0,33140.7,33595.56,32202.0,2064960.0,2121004.8,2150115.84,2060928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,64.0,64.0,0.16527909401338547,0.1746498583466746,0.18297099772491493,0.16594833980586068,,,,
POLAR64_48,polar,64,48,0.75,trace_other,event_full_state_osd,32,4,4,1.0,0.5101091635454027,1.0,1.0,0.0,1.0,1.5,3537.0,3537.0,3537.0,3537.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,63.0,1.0,1.0,1.0,1.0,2569.5,2620.6,2638.96,2586.25,2569.5,2620.6,2638.96,2586.25,2569.5,2620.6,2638.96,2586.25,161320.5,164539.8,165696.48,162375.75,10324512.0,10530547.2,10604574.72,10392048.0,3528.0,3528.0,3528.0,3528.0,0.0,0.0,0.0,0.0,64.0,64.0,64.0,64.0,0.9775074500357732,1.0171256175963208,1.029828955011908,0.9781134897784796,,,,
POLAR64_48,polar,64,48,0.75,trace_other,event_ls_adaptive_l2,32,50,25,0.5,0.3664451431682858,0.6335548568317142,0.24,0.14,0.88,1.5,9.0,50009.0,50009.0,8396.54,0.0,45020.6,45771.29,7578.98,1.0,63.0,63.0,15.88,1.0,1.0,1.0,1.0,9.0,10.0,10.509999999999998,9.14,9.0,10.0,10.0,9.12,9.0,10.0,10.0,9.12,9.0,72.0,72.0,16.56,576.0,4608.0,4608.0,1059.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,64.0,16.12,0.0026599090197123587,0.39986854857997967,0.4729405262239742,0.0721953261247836,0.023638209252869302,0.30749374633332494,0.4230242231740565,0.11104789058998321
POLAR64_48,polar,64,48,0.75,trace_other,event_ls_first,32,50,23,0.46,0.3296965219222435,0.5960112860084253,0.24,0.0,1.0,1.5,9.0,52704.00000000001,86238.29999999999,10451.52,0.0,47785.600000000006,77866.19999999998,9419.42,1.0,63.0,63.0,15.88,1.0,1.0,1.0,1.0,9.0,10.0,10.0,9.24,9.0,10.0,10.0,9.24,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,576.0,576.0,576.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,64.0,16.12,0.0026599090197123587,0.47791759710526094,0.7406379690580068,0.09172678848728538,0.0,0.0,0.0011620154217804675,0.00010880294211427592
POLAR64_48,polar,64,48,0.75,trace_other,event_posterior_pruned_code_specific,32,50,26,0.52,0.38511744890044614,0.6520286471342196,0.24,0.0,1.0,1.5,9.0,45.0,45.0,17.64,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.72,1.0,1.0,1.0,0.7752380952380952,9.0,44.0,45.0,17.24,9.0,44.0,45.0,17.24,9.0,44.0,45.0,17.24,9.0,2214.0,2277.0,528.12,576.0,141696.0,145728.0,33799.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,64.0,16.12,0.0026599090197123587,0.014682774001266807,0.016385363287990912,0.005845131613314152,,,,
POLAR64_48,polar,64,48,0.75,trace_other,event_state_marginal_code_specific,32,50,26,0.52,0.38511744890044614,0.6520286471342196,0.24,0.0,1.0,1.5,9.0,18.0,18.0,11.16,0.0,0.0,0.0,0.0,1.0,63.0,63.0,15.88,1.0,1.0,1.0,1.0,9.0,18.0,18.0,11.16,9.0,18.0,18.0,11.16,9.0,18.0,18.0,11.16,9.0,576.0,576.0,145.08,576.0,44928.0,44928.0,11220.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8065.0,8065.0,1936.36,0.0026599090197123587,0.008599058585241437,0.010847643073648213,0.0043419977277517315,,,,
POLAR64_48,polar,64,48,0.75,trace_other,normal_code_decoder,32,50,27,0.54,0.40398871399157477,0.6703034780777566,0.0,0.0,1.0,1.5,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,576.0,576.0,576.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.002592528471723199,0.003376975329592824,0.008407537600724015,0.0029518756456673144,,,,
