code_id,transform,collision_fraction,system_rank,consistent
BCH64_45,tau1_d1,0.0,18,False
BCH64_45,tau1_d3,0.0,18,False
BCH64_45,tau2_d1,3.814697265625e-06,18,True
BCH64_45,tau2_d3,3.814697265625e-06,18,True
BCH64_45,tau3_d1,0.0,18,False
BCH64_45,tau3_d3,0.0,18,False
BCH64_45,tau4_d1,3.814697265625e-06,18,True
BCH64_45,tau4_d3,3.814697265625e-06,18,True
BCH64_45,tau5_d1,0.0,18,False
BCH64_45,tau5_d3,0.0,18,False
BCH64_45,tau6_d1,3.814697265625e-06,18,True
BCH64_45,tau6_d3,3.814697265625e-06,18,True
BCH64_45,tau7_d1,0.0,18,False
BCH64_45,tau7_d3,0.0,18,False
BCH64_45,tau8_d1,3.814697265625e-06,18,True
BCH64_45,tau8_d3,3.814697265625e-06,18,True
BCH64_45,tau9_d1,0.0,18,False
BCH64_45,tau9_d3,0.0,18,False
BCH64_45,tau10_d1,3.814697265625e-06,18,True
BCH64_45,tau10_d3,3.814697265625e-06,18,True
BCH64_45,tau11_d1,0.0,18,False
BCH64_45,tau11_d3,0.0,18,False
BCH64_45,tau12_d1,3.814697265625e-06,18,True
BCH64_45,tau12_d3,3.814697265625e-06,18,True
BCH64_45,tau13_d1,0.0,18,False
BCH64_45,tau13_d3,0.0,18,False
BCH64_45,tau14_d1,7.62939453125e-06,17,True
BCH64_45,tau14_d3,7.62939453125e-06,17,True
BCH64_45,tau15_d1,0.0,17,False
BCH64_45,tau15_d3,0.0,17,False
BCH64_45,tau16_d1,0.0,16,False
BCH64_45,tau16_d3,0.0,16,False
BCH64_45,tau17_d1,0.0,15,False
BCH64_45,tau17_d3,0.0,15,False
BCH64_45,tau18_d1,0.0,14,False
BCH64_45,tau18_d3,0.0,14,False
BCH64_45,tau19_d1,0.0,13,False
BCH64_45,tau19_d3,0.0,13,False
BCH64_45,tau20_d1,0.0,12,False
BCH64_45,tau20_d3,0.0,12,False
BCH64_45,tau21_d1,0.0,11,False
BCH64_45,tau21_d3,0.0,11,False
BCH64_45,tau22_d1,0.0,10,False
BCH64_45,tau22_d3,0.0,10,False
BCH64_45,tau23_d1,0.0,9,False
BCH64_45,tau23_d3,0.0,9,False
BCH64_45,tau24_d1,0.0,8,False
BCH64_45,tau24_d3,0.0,8,False
BCH64_45,tau25_d1,0.0,7,False
BCH64_45,tau25_d3,0.0,7,False
BCH64_45,tau26_d1,0.0,6,False
BCH64_45,tau26_d3,0.0,6,False
BCH64_45,tau27_d1,0.0,5,False
BCH64_45,tau27_d3,0.0,5,False
BCH64_45,tau28_d1,0.0,4,False
BCH64_45,tau28_d3,0.0,4,False
BCH64_45,tau29_d1,0.0,3,False
BCH64_45,tau29_d3,0.0,3,False
BCH64_45,tau30_d1,0.0,2,False
BCH64_45,tau30_d3,0.0,2,False
BCH64_45,tau31_d1,0.0,1,False
BCH64_45,tau31_d3,0.0,1,False
POLAR64_48,tau1_d1,0.0,15,False
POLAR64_48,tau1_d3,0.0,15,False
