case_id,trials,marginal_errors,joint_errors,first_errors,marginal_bler,marginal_bler_low,marginal_bler_high,marginal_joint_switch_rate,marginal_first_switch_rate,median_effective_path_multiplicity,p90_effective_path_multiplicity,median_certificate_over_first,median_queue_touch_fraction
EF10_DENSE,300,153,157,160,0.51,0.45366418945602693,0.5660829511194823,0.14,0.15666666666666668,1.0592718506745595,1.7188071268513343,12.208333333333332,1.0
EF10_SPARSE,300,146,149,142,0.4866666666666667,0.43063449599449377,0.5430359832381607,0.13333333333333333,0.14333333333333334,1.05025981116134,1.6501556969366689,11.5625,1.0
EF12_DENSE,300,165,171,171,0.55,0.4934256045239535,0.6053100983535921,0.14666666666666667,0.16,1.0791794488970219,1.8177170499114323,17.166666666666664,1.0
EF12_SPARSE,300,161,159,161,0.5366666666666666,0.4801320652390865,0.5922741168711132,0.14666666666666667,0.17,1.0782591263696553,1.8225593126330883,14.86888888888889,1.0
