case_id,family,n,k,redundancy,rate,code_replicates,orbit_safe_fraction,any_full_invariance_fraction,median_max_collision_fraction,max_collision_fraction,median_union_bound,median_dangerous_transform_count
OA128_R16_DENSE,dense,128,112,16,0.875,20,0.95,0.0,3.0517578125e-05,0.001953125,0.00152587890625,0.0
OA128_R16_SPARSE,sparse,128,112,16,0.875,20,1.0,0.0,3.0517578125e-05,6.103515625e-05,0.001434326171875,0.0
OA128_R24_DENSE,dense,128,104,24,0.8125,20,1.0,0.0,1.1920928955078125e-07,9.5367431640625e-07,5.0067901611328125e-06,0.0
OA128_R24_SPARSE,sparse,128,104,24,0.8125,20,1.0,0.0,1.1920928955078125e-07,1.9073486328125e-06,4.76837158203125e-06,0.0
OA32_R8_DENSE,dense,32,24,8,0.75,30,0.0,0.03333333333333333,0.0078125,1.0,0.078125,16.0
OA32_R8_SPARSE,sparse,32,24,8,0.75,30,0.0,0.0,0.0078125,0.03125,0.06640625,15.0
OA64_R16_DENSE,dense,64,48,16,0.75,30,1.0,0.0,3.0517578125e-05,0.00048828125,0.00054931640625,0.0
OA64_R16_SPARSE,sparse,64,48,16,0.75,30,1.0,0.0,3.0517578125e-05,0.0001220703125,0.00048828125,0.0
OA64_R8_DENSE,dense,64,56,8,0.875,30,0.0,0.13333333333333333,0.0078125,1.0,0.20703125,48.0
OA64_R8_SPARSE,sparse,64,56,8,0.875,30,0.0,0.06666666666666667,0.0078125,1.0,0.1875,44.0
