case_id,n,k,rate,family,snr_db,true_slip_prob,model_slip_prob,forced_location_fraction,two_slip_fraction,phase_innovation_std_deg,decoder,trials,errors,bler,bler_wilson_low,bler_wilson_high,cap_rate,certification_rate,median_components_generated,p90_components_generated,mean_components_generated,median_membership_queries,p90_membership_queries,mean_membership_queries,median_latent_queues_touched,p90_latent_queues_touched,mean_latent_queues_touched,median_queue_touch_fraction,p90_queue_touch_fraction,mean_queue_touch_fraction,median_valid_codewords,p90_valid_codewords,mean_valid_codewords,median_unique_candidates,p90_unique_candidates,mean_unique_candidates,median_complete_marginal_candidates,p90_complete_marginal_candidates,mean_complete_marginal_candidates,median_state_word_metric_evals,p90_state_word_metric_evals,mean_state_word_metric_evals,median_bit_metric_accumulations,p90_bit_metric_accumulations,mean_bit_metric_accumulations,median_osd_reprocessings,p90_osd_reprocessings,mean_osd_reprocessings,median_preprocessing_state_metrics,p90_preprocessing_state_metrics,mean_preprocessing_state_metrics,median_wall_seconds,p90_wall_seconds,mean_wall_seconds
PF32_DENSE_EARLY,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,latent_osd_batch_o2_s31,60,0,0.0,0.0,0.06017185214208986,0.0,0.0,1736.0,1736.0,1736.0,0.0,0.0,0.0,31.0,31.0,31.0,1.0,1.0,1.0,932.5,995.3000000000001,935.6666666666666,932.5,995.3000000000001,935.6666666666666,932.5,995.3000000000001,935.6666666666666,28907.5,30854.3,29005.666666666668,925040.0,987337.6,928181.3333333334,1736.0,1736.0,1736.0,31.0,31.0,31.0,0.10321155097335577,0.12456095832167194,0.10288933870033361
PF32_DENSE_EARLY,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,ls_first_valid,60,0,0.0,0.0,0.06017185214208986,0.0,0.0,12.0,104.70000000000002,70.23333333333333,12.0,100.70000000000002,64.31666666666666,7.0,31.0,15.633333333333333,0.22580645161290322,1.0,0.5043010752688173,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0016211105394177139,0.0031701062922365967,0.0022425315517466517
PF32_DENSE_EARLY,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,ls_list_marginal_L2,60,0,0.0,0.0,0.06017185214208986,0.016666666666666666,0.0,4498.5,14490.800000000001,6192.233333333334,3825.0,11833.1,5125.15,31.0,31.0,31.0,1.0,1.0,1.0,4.0,5.0,3.533333333333333,2.0,2.0,1.9833333333333334,2.0,2.0,1.9833333333333334,62.0,62.0,61.483333333333334,1984.0,1984.0,1967.4666666666667,0.0,0.0,0.0,62.0,62.0,62.0,0.06299592100549489,0.181917520123534,0.0869525561594249
PF32_DENSE_EARLY,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,ls_list_marginal_L4,60,0,0.0,0.0,0.06017185214208986,0.18333333333333332,0.0,17009.0,25000.0,16127.35,13771.5,19937.9,13039.95,31.0,31.0,31.0,1.0,1.0,1.0,7.0,8.0,6.566666666666666,4.0,4.0,3.716666666666667,4.0,4.0,3.716666666666667,124.0,124.0,115.21666666666667,3968.0,3968.0,3686.9333333333334,0.0,0.0,0.0,62.0,62.0,62.0,0.23599707352695987,0.3746259490842931,0.23050167010126946
PF32_DENSE_EARLY,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,ls_list_marginal_L8,60,0,0.0,0.0,0.06017185214208986,0.8,0.0,25000.0,25000.0,24009.066666666666,19853.0,20335.1,19195.366666666665,31.0,31.0,31.0,1.0,1.0,1.0,9.0,12.100000000000001,9.083333333333334,5.0,8.0,5.333333333333333,5.0,8.0,5.333333333333333,155.0,248.0,165.33333333333334,4960.0,7936.0,5290.666666666667,0.0,0.0,0.0,62.0,62.0,62.0,0.35797932249261066,0.4009096562047489,0.3374406255160769
PF32_DENSE_EARLY,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,lsgrand_certified_v1_bound,60,0,0.0,0.0,0.06017185214208986,0.0,1.0,160.0,524.8000000000002,385.6,160.0,524.8000000000002,385.6,31.0,31.0,31.0,1.0,1.0,1.0,1.0,2.0,1.1333333333333333,1.0,1.0,1.05,0.0,0.0,0.0,160.0,524.8000000000002,385.6,5120.0,16793.600000000006,12339.2,0.0,0.0,0.0,31.0,31.0,31.0,0.0035856725298799574,0.010188880050554872,0.006513997252720098
PF32_DENSE_EARLY,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,plain_osd_batch_o2,60,60,1.0,0.93982814785791,0.9999999999999998,0.0,0.0,56.0,56.0,56.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1792.0,1792.0,1792.0,56.0,56.0,56.0,1.0,1.0,1.0,0.0033925484749488533,0.004731031158007682,0.0035527087767453242
PF32_SPARSE_EARLY,32,20,0.625,sparse,7.0,1.0,0.5,0.2,0.0,0.0,latent_osd_batch_o2_s31,60,3,0.05,0.01714950216439568,0.1370051647634852,0.0,0.0,1736.0,1736.0,1736.0,0.0,0.0,0.0,31.0,31.0,31.0,1.0,1.0,1.0,956.5,1025.3,952.6166666666667,956.5,1025.3,952.6166666666667,956.5,1025.3,952.6166666666667,29651.5,31784.3,29531.116666666665,948848.0,1017097.6,944995.7333333333,1736.0,1736.0,1736.0,31.0,31.0,31.0,0.11207039206055924,0.13120575867360457,0.11361863157750728
PF32_SPARSE_EARLY,32,20,0.625,sparse,7.0,1.0,0.5,0.2,0.0,0.0,ls_first_valid,60,3,0.05,0.01714950216439568,0.1370051647634852,0.0,0.0,8.5,40.400000000000006,21.333333333333332,8.5,40.400000000000006,20.683333333333334,7.0,31.0,10.366666666666667,0.22580645161290322,1.0,0.33440860215053775,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.001431020034942776,0.0026563834049738943,0.0016887163083689908
PF32_SPARSE_EARLY,32,20,0.625,sparse,7.0,1.0,0.5,0.2,0.0,0.0,ls_list_marginal_L2,60,3,0.05,0.01714950216439568,0.1370051647634852,0.0,0.0,224.0,913.6000000000003,549.6,207.0,812.9000000000002,489.6666666666667,31.0,31.0,30.283333333333335,1.0,1.0,0.9768817204301075,2.0,3.1000000000000014,2.466666666666667,2.0,2.0,2.0,2.0,2.0,2.0,62.0,62.0,62.0,1984.0,1984.0,1984.0,0.0,0.0,0.0,62.0,62.0,62.0,0.0058030085056088865,0.01573731440585107,0.010202526239057381
PF32_SPARSE_EARLY,32,20,0.625,sparse,7.0,1.0,0.5,0.2,0.0,0.0,ls_list_marginal_L4,60,3,0.05,0.01714950216439568,0.1370051647634852,0.0,0.0,1345.5,2957.5000000000005,1902.75,1228.5,2565.2000000000003,1649.6666666666667,31.0,31.0,31.0,1.0,1.0,1.0,5.0,7.0,5.433333333333334,4.0,4.0,4.0,4.0,4.0,4.0,124.0,124.0,124.0,3968.0,3968.0,3968.0,0.0,0.0,0.0,62.0,62.0,62.0,0.022611611988395452,0.04400253471685574,0.02959325003127257
PF32_SPARSE_EARLY,32,20,0.625,sparse,7.0,1.0,0.5,0.2,0.0,0.0,ls_list_marginal_L8,60,3,0.05,0.01714950216439568,0.1370051647634852,0.016666666666666666,0.0,4311.5,9861.8,5454.9,3671.5,8197.1,4599.25,31.0,31.0,31.0,1.0,1.0,1.0,11.0,14.100000000000001,11.433333333333334,8.0,8.0,7.933333333333334,8.0,8.0,7.933333333333334,248.0,248.0,245.93333333333334,7936.0,7936.0,7869.866666666667,0.0,0.0,0.0,62.0,62.0,62.0,0.06012547644786537,0.14449455266585576,0.08170038977987133
PF32_SPARSE_EARLY,32,20,0.625,sparse,7.0,1.0,0.5,0.2,0.0,0.0,lsgrand_certified_v1_bound,60,3,0.05,0.01714950216439568,0.1370051647634852,0.0,1.0,96.0,384.0,222.41666666666666,96.0,384.0,222.41666666666666,31.0,31.0,31.0,1.0,1.0,1.0,1.0,3.0,1.7833333333333334,1.0,2.1000000000000014,1.5333333333333334,0.0,0.0,0.0,96.0,384.0,222.41666666666666,3072.0,12288.0,7117.333333333333,0.0,0.0,0.0,31.0,31.0,31.0,0.0030814065248705447,0.007004910591058434,0.005368299266168227
PF32_SPARSE_EARLY,32,20,0.625,sparse,7.0,1.0,0.5,0.2,0.0,0.0,plain_osd_batch_o2,60,60,1.0,0.93982814785791,0.9999999999999998,0.0,0.0,56.0,56.0,56.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1792.0,1792.0,1792.0,56.0,56.0,56.0,1.0,1.0,1.0,0.0038519169902428985,0.00487218740163371,0.003920202112446229
