case_id,trials,certification_rate,cap_rate,median_certificate_over_first,p90_certificate_over_first,median_queue_touch_fraction,p90_queue_touch_fraction
PF32_DENSE_EARLY,60,1.0,0.0,9.142857142857142,18.720000000000002,1.0,1.0
PF32_SPARSE_EARLY,60,1.0,0.0,9.142857142857142,22.33846153846154,1.0,1.0
PF64_DENSE_EARLY,40,1.0,0.0,12.8,26.694736842105264,1.0,1.0
PF64_DENSE_MIX,40,1.0,0.0,7.373980582524272,21.533333333333335,0.015873015873015872,1.0
PF64_DENSE_PHASE,20,0.95,0.05,32.0,53.333333333333336,1.0,1.0
PF64_SPARSE_EARLY,40,1.0,0.0,17.00392156862745,435.84000000000015,1.0,1.0
PF64_SPARSE_MIX,40,1.0,0.0,1.0,19.2,0.015873015873015872,1.0
PF64_SPARSE_PHASE,20,1.0,0.0,25.6,48.0,1.0,1.0
