case_id,family,n,k,ls_decoder,osd_decoder,paired_trials,eligible_work_pairs,ls_bler,ls_bler_low,ls_bler_high,ls_minus_osd_error_rate,error_diff_low,error_diff_high,osd_to_ls_wall_median_ratio,wall_ratio_low,wall_ratio_high,osd_to_ls_bit_metric_median_ratio,bit_ratio_low,bit_ratio_high,osd_to_ls_component_median_ratio,component_ratio_low,component_ratio_high
PF64_DENSE_EARLY,dense,64,48,ls_list_marginal_L4,latent_osd_batch_o2_s63,40,3,0.0,0.0,0.08762160119728664,0.0,0.0,0.0,4.948749730887323,2.0478330178649298,5.291129269689046,627.5,610.0,628.0,0.16868276356681808,0.08223967924660248,0.17280564263322884
PF64_DENSE_EARLY,dense,64,48,ls_list_marginal_L8,latent_osd_batch_o2_s63,40,0,0.0,0.0,0.08762160119728664,0.0,0.0,0.0,,,,,,,,,
PF64_SPARSE_EARLY,sparse,64,48,ls_first_valid,latent_osd_batch_o2_s63,40,40,0.125,0.05459500250945401,0.261121198388511,0.05,-0.05,0.15,442.00740752954744,408.9725548327382,480.0426328266958,10446912.0,10325952.0,10698912.0,220.5,207.52941176470588,252.0
PF64_SPARSE_EARLY,sparse,64,48,ls_list_marginal_L2,latent_osd_batch_o2_s63,40,40,0.075,0.025836025774588198,0.19864233524310543,0.0,0.0,0.0,89.80521791711465,48.03984628815505,114.53303879624501,1295.5,1280.0,1326.75,4.944799033983095,3.0704960835509136,6.506460674157303
PF64_SPARSE_EARLY,sparse,64,48,ls_list_marginal_L4,latent_osd_batch_o2_s63,40,39,0.075,0.025836025774588198,0.19864233524310543,0.0,0.0,0.0,21.0577587105779,18.62564128187221,27.718681952613537,647.75,639.75,663.0,1.0031276656241115,0.7205882352941176,1.2937293729372936
PF64_SPARSE_EARLY,sparse,64,48,ls_list_marginal_L8,latent_osd_batch_o2_s63,40,39,0.075,0.025836025774588198,0.19864233524310543,0.0,0.0,0.0,7.334697090251779,6.3521929672524,10.80113325172066,323.875,319.875,331.5,0.3284610371473792,0.2585183556825676,0.4083805996064359
PF64_DENSE_MIX,dense,64,48,ls_first_valid,latent_osd_batch_o2_s63,40,40,0.0,0.0,0.08762160119728664,0.0,0.0,0.0,523.7074471162431,435.3193030710922,600.4237872288844,10273536.0,10217088.0,10342080.0,1764.0,735.0,1764.0
PF64_DENSE_MIX,dense,64,48,ls_list_marginal_L2,latent_osd_batch_o2_s63,40,26,0.0,0.0,0.08762160119728664,0.0,0.0,0.0,4.247386656463565,2.8723945819327894,6.249306476763187,1275.0,1262.0,1285.25,0.17453378490987437,0.1184533980894523,0.3149943780374209
PF64_DENSE_MIX,dense,64,48,ls_list_marginal_L4,latent_osd_batch_o2_s63,40,2,0.0,0.0,0.08762160119728664,0.0,0.0,0.0,1.6251971086418249,1.541158633800637,1.7092355834830126,647.125,646.0,648.25,0.06510944414430664,0.06245353159851301,0.06776535669010027
PF64_DENSE_MIX,dense,64,48,ls_list_marginal_L8,latent_osd_batch_o2_s63,40,0,0.0,0.0,0.08762160119728664,0.0,0.0,0.0,,,,,,,,,
PF64_SPARSE_MIX,sparse,64,48,ls_first_valid,latent_osd_batch_o2_s63,40,40,0.05,0.013820667386148344,0.16503877369140962,0.0,0.0,0.0,503.23251134681993,423.68987572354195,556.858961724923,10422720.0,10253376.0,10584000.0,1764.0,1764.0,3528.0
PF64_SPARSE_MIX,sparse,64,48,ls_list_marginal_L2,latent_osd_batch_o2_s63,40,40,0.05,0.013820667386148344,0.16503877369140962,0.0,0.0,0.0,185.07525632962447,147.76729334400287,215.8791593606165,1292.5,1271.5,1312.5,20.260602094240838,12.923076923076923,82.04651162790698
PF64_SPARSE_MIX,sparse,64,48,ls_list_marginal_L4,latent_osd_batch_o2_s63,40,40,0.05,0.013820667386148344,0.16503877369140962,0.0,0.0,0.0,82.71944241151103,61.361908444900834,106.81397727046017,646.25,635.75,657.2999999999997,4.287359168007924,2.5556712304614937,7.353862054290666
PF64_SPARSE_MIX,sparse,64,48,ls_list_marginal_L8,latent_osd_batch_o2_s63,40,40,0.05,0.013820667386148344,0.16503877369140962,0.0,0.0,0.0,29.203266270740542,17.479641032541203,37.36924205517439,323.125,317.875,328.125,1.3943215734292493,0.7834776815456362,2.0264322935997745
PF64_DENSE_PHASE,dense,64,48,ls_first_valid,latent_osd_batch_o2_s63,20,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0,467.6061458156071,377.2111984321946,604.2137024275274,10364256.0,10164672.0,10489248.0,1764.0,185.68421052631578,3528.0
PF64_DENSE_PHASE,dense,64,48,ls_list_marginal_L2,latent_osd_batch_o2_s63,20,13,0.0,0.0,0.16112515805281938,0.0,0.0,0.0,3.9574653404345255,1.7311886327138057,16.946988120085372,1278.0,1255.0,1312.5,0.18807975263887408,0.06712201061623638,0.5967523680649527
PF64_DENSE_PHASE,dense,64,48,ls_list_marginal_L4,latent_osd_batch_o2_s63,20,1,0.0,0.0,0.16112515805281938,0.0,0.0,0.0,1.319767744486028,1.319767744486028,1.319767744486028,660.25,660.25,660.25,0.06296739188634456,0.06296739188634456,0.06296739188634456
PF64_DENSE_PHASE,dense,64,48,ls_list_marginal_L8,latent_osd_batch_o2_s63,20,0,0.0,0.0,0.16112515805281938,0.0,0.0,0.0,,,,,,,,,
PF64_SPARSE_PHASE,sparse,64,48,ls_first_valid,latent_osd_batch_o2_s63,20,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0,488.6959796553874,421.73874543817044,558.0408219227384,10362240.0,9952992.0,10747296.0,698.25,185.68421052631578,3528.0
PF64_SPARSE_PHASE,sparse,64,48,ls_list_marginal_L2,latent_osd_batch_o2_s63,20,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0,171.1724810047868,101.48233793251492,197.3102050739123,1285.0,1234.25,1332.75,16.111261027503893,7.47457627118644,20.58
PF64_SPARSE_PHASE,sparse,64,48,ls_list_marginal_L4,latent_osd_batch_o2_s63,20,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0,62.17753066337369,34.015663784717795,83.53300991046572,642.5,617.25,666.375,3.1121547579112154,2.1586424307465286,4.344834175838676
PF64_SPARSE_PHASE,sparse,64,48,ls_list_marginal_L8,latent_osd_batch_o2_s63,20,20,0.0,0.0,0.16112515805281938,0.0,0.0,0.0,14.079176493048674,10.95307278194231,19.433519699388192,321.25,308.5625,333.1875,0.6515108063717183,0.44875245295554234,1.0264698885465775
