case_id,trial_uid,n,k,rate,family,snr_db,true_slip_prob,model_slip_prob,forced_location_fraction,two_slip_fraction,phase_innovation_std_deg,phase_initial_std_deg,assumed_noise_offset_db,true_state_label,model_contains_true_path,state_hypothesis_count,code_replicate,trial_index,transmitted_int,decoder,decoded_correct,decoded_int,success,certified,cap_hit,stop_reason,components_generated,membership_queries,latent_hypotheses_available,latent_queues_touched,valid_codewords,unique_candidates,complete_marginal_candidates,state_word_metric_evals,bit_metric_accumulations,osd_reprocessings,preprocessing_state_metrics,wall_seconds,queue_touch_fraction
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t2,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,2,1483107759,ls_list_marginal_L2,True,1483107759,True,False,False,valid_list_complete,304,278,31,31,3,2,2,62,1984,0,62,0.007656521978788078,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t2,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,2,1483107759,ls_list_marginal_L4,True,1483107759,True,False,False,valid_list_complete,10591,8666,31,31,7,4,4,124,3968,0,62,0.15294458891730756,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t2,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,2,1483107759,ls_list_marginal_L8,True,1483107759,True,False,True,query_cap_before_list,25000,19777,31,31,12,6,6,186,5952,0,62,0.3819441420491785,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t2,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,2,1483107759,latent_osd_batch_o2_s31,True,1483107759,True,False,False,best_marginal_in_osd_union,1736,0,31,31,875,875,875,27125,868000,1736,31,0.09269948094151914,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t2,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,2,1483107759,plain_osd_batch_o2,False,1241724661,True,False,False,best_marginal_in_osd_union,56,0,1,1,56,56,56,56,1792,56,1,0.0027260470669716597,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t2,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,2,1483107759,lsgrand_certified_v1_bound,True,1483107759,True,True,False,strict_unseen_codeword_certificate,224,224,31,31,2,1,0,224,7168,0,31,0.003365993034094572,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t3,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,3,415324130,ls_first_valid,True,415324130,True,False,False,valid_list_complete,9,9,31,6,1,1,0,0,0,0,31,0.0009463209426030517,0.1935483870967742
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t3,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,3,415324130,ls_list_marginal_L2,True,415324130,True,False,False,valid_list_complete,13881,11492,31,31,5,2,2,62,1984,0,62,0.1410957130137831,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t3,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,3,415324130,ls_list_marginal_L4,True,415324130,True,False,False,valid_list_complete,18478,15144,31,31,7,4,4,124,3968,0,62,0.2393353000516072,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t3,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,3,415324130,ls_list_marginal_L8,True,415324130,True,False,True,query_cap_before_list,25000,20209,31,31,10,5,5,155,4960,0,62,0.24722542497329414,1.0
