case_id,code_replicate,n,k,redundancy,rate,family,transforms,max_collision_fraction,mean_collision_fraction,union_bound_random_transform_collision,full_invariance_count,dangerous_transform_count,orbit_safe
OA32_R8_DENSE,0,32,24,8,0.75,dense,45,0.0078125,0.001736111111111111,0.078125,0,16,False
OA32_R8_DENSE,1,32,24,8,0.75,dense,45,0.00390625,0.001388888888888889,0.0625,0,16,False
OA32_R8_DENSE,2,32,24,8,0.75,dense,45,0.0078125,0.0015625,0.0703125,0,16,False
OA32_R8_DENSE,3,32,24,8,0.75,dense,45,0.00390625,0.0012152777777777778,0.0546875,0,14,False
OA32_R8_DENSE,4,32,24,8,0.75,dense,45,0.015625,0.0020833333333333333,0.09375,0,18,False
OA32_R8_DENSE,5,32,24,8,0.75,dense,45,0.03125,0.0036458333333333334,0.1640625,0,20,False
OA32_R8_DENSE,6,32,24,8,0.75,dense,45,0.015625,0.0024305555555555556,0.109375,0,18,False
OA32_R8_DENSE,7,32,24,8,0.75,dense,45,0.015625,0.0020833333333333333,0.09375,0,16,False
OA32_R8_DENSE,8,32,24,8,0.75,dense,45,0.0078125,0.001388888888888889,0.0625,0,14,False
OA32_R8_DENSE,9,32,24,8,0.75,dense,45,0.0078125,0.001736111111111111,0.078125,0,18,False
OA32_R8_DENSE,10,32,24,8,0.75,dense,45,0.00390625,0.001388888888888889,0.0625,0,16,False
OA32_R8_DENSE,11,32,24,8,0.75,dense,45,0.00390625,0.0010416666666666667,0.046875,0,12,False
OA32_R8_DENSE,12,32,24,8,0.75,dense,45,0.0078125,0.001736111111111111,0.078125,0,16,False
OA32_R8_DENSE,13,32,24,8,0.75,dense,45,0.03125,0.002951388888888889,0.1328125,0,18,False
OA32_R8_DENSE,14,32,24,8,0.75,dense,45,0.0078125,0.0022569444444444442,0.1015625,0,18,False
OA32_R8_DENSE,15,32,24,8,0.75,dense,45,0.03125,0.0036458333333333334,0.1640625,0,18,False
OA32_R8_DENSE,16,32,24,8,0.75,dense,45,0.00390625,0.0012152777777777778,0.0546875,0,14,False
OA32_R8_DENSE,17,32,24,8,0.75,dense,45,0.0078125,0.0015625,0.0703125,0,16,False
OA32_R8_DENSE,18,32,24,8,0.75,dense,45,0.0078125,0.0019097222222222222,0.0859375,0,18,False
OA32_R8_DENSE,19,32,24,8,0.75,dense,45,0.03125,0.003472222222222222,0.15625,0,16,False
OA32_R8_DENSE,20,32,24,8,0.75,dense,45,0.0078125,0.001388888888888889,0.0625,0,14,False
OA32_R8_DENSE,21,32,24,8,0.75,dense,45,0.03125,0.002951388888888889,0.1328125,0,18,False
OA32_R8_DENSE,22,32,24,8,0.75,dense,45,0.0078125,0.0019097222222222222,0.0859375,0,18,False
OA32_R8_DENSE,23,32,24,8,0.75,dense,45,1.0,0.02361111111111111,1.0,1,17,False
OA32_R8_DENSE,24,32,24,8,0.75,dense,45,0.0078125,0.0015625,0.0703125,0,14,False
OA32_R8_DENSE,25,32,24,8,0.75,dense,45,0.00390625,0.001388888888888889,0.0625,0,16,False
OA32_R8_DENSE,26,32,24,8,0.75,dense,45,0.03125,0.002951388888888889,0.1328125,0,18,False
OA32_R8_DENSE,27,32,24,8,0.75,dense,45,0.0078125,0.001736111111111111,0.078125,0,18,False
OA32_R8_DENSE,28,32,24,8,0.75,dense,45,0.0078125,0.001736111111111111,0.078125,0,18,False
OA32_R8_DENSE,29,32,24,8,0.75,dense,45,0.0078125,0.001736111111111111,0.078125,0,16,False
OA32_R8_SPARSE,0,32,24,8,0.75,sparse,45,0.00390625,0.0010416666666666667,0.046875,0,12,False
OA32_R8_SPARSE,1,32,24,8,0.75,sparse,45,0.0078125,0.001388888888888889,0.0625,0,14,False
OA32_R8_SPARSE,2,32,24,8,0.75,sparse,45,0.015625,0.0019097222222222222,0.0859375,0,16,False
OA32_R8_SPARSE,3,32,24,8,0.75,sparse,45,0.0078125,0.001736111111111111,0.078125,0,18,False
OA32_R8_SPARSE,4,32,24,8,0.75,sparse,45,0.0078125,0.0015625,0.0703125,0,16,False
OA32_R8_SPARSE,5,32,24,8,0.75,sparse,45,0.0078125,0.001388888888888889,0.0625,0,8,False
OA32_R8_SPARSE,6,32,24,8,0.75,sparse,45,0.00390625,0.001388888888888889,0.0625,0,16,False
OA32_R8_SPARSE,7,32,24,8,0.75,sparse,45,0.0078125,0.0010416666666666667,0.046875,0,6,False
OA32_R8_SPARSE,8,32,24,8,0.75,sparse,45,0.00390625,0.0012152777777777778,0.0546875,0,14,False
OA32_R8_SPARSE,9,32,24,8,0.75,sparse,45,0.0078125,0.001388888888888889,0.0625,0,14,False
OA32_R8_SPARSE,10,32,24,8,0.75,sparse,45,0.0078125,0.0012152777777777778,0.0546875,0,12,False
OA32_R8_SPARSE,11,32,24,8,0.75,sparse,45,0.0078125,0.0015625,0.0703125,0,16,False
OA32_R8_SPARSE,12,32,24,8,0.75,sparse,45,0.015625,0.0022569444444444442,0.1015625,0,16,False
OA32_R8_SPARSE,13,32,24,8,0.75,sparse,45,0.015625,0.0026041666666666665,0.1171875,0,16,False
OA32_R8_SPARSE,14,32,24,8,0.75,sparse,45,0.0078125,0.0015625,0.0703125,0,14,False
OA32_R8_SPARSE,15,32,24,8,0.75,sparse,45,0.00390625,0.001388888888888889,0.0625,0,16,False
OA32_R8_SPARSE,16,32,24,8,0.75,sparse,45,0.00390625,0.0012152777777777778,0.0546875,0,14,False
OA32_R8_SPARSE,17,32,24,8,0.75,sparse,45,0.0078125,0.001388888888888889,0.0625,0,10,False
OA32_R8_SPARSE,18,32,24,8,0.75,sparse,45,0.015625,0.001736111111111111,0.078125,0,14,False
OA32_R8_SPARSE,19,32,24,8,0.75,sparse,45,0.0078125,0.0015625,0.0703125,0,16,False
OA32_R8_SPARSE,20,32,24,8,0.75,sparse,45,0.0078125,0.001388888888888889,0.0625,0,10,False
OA32_R8_SPARSE,21,32,24,8,0.75,sparse,45,0.0078125,0.0015625,0.0703125,0,16,False
OA32_R8_SPARSE,22,32,24,8,0.75,sparse,45,0.015625,0.0020833333333333333,0.09375,0,18,False
OA32_R8_SPARSE,23,32,24,8,0.75,sparse,45,0.00390625,0.0010416666666666667,0.046875,0,12,False
OA32_R8_SPARSE,24,32,24,8,0.75,sparse,45,0.0078125,0.001736111111111111,0.078125,0,18,False
OA32_R8_SPARSE,25,32,24,8,0.75,sparse,45,0.015625,0.0022569444444444442,0.1015625,0,18,False
OA32_R8_SPARSE,26,32,24,8,0.75,sparse,45,0.00390625,0.0012152777777777778,0.0546875,0,14,False
OA32_R8_SPARSE,27,32,24,8,0.75,sparse,45,0.03125,0.002951388888888889,0.1328125,0,14,False
OA32_R8_SPARSE,28,32,24,8,0.75,sparse,45,0.0078125,0.0015625,0.0703125,0,16,False
OA32_R8_SPARSE,29,32,24,8,0.75,sparse,45,0.00390625,0.001388888888888889,0.0625,0,16,False
OA64_R8_DENSE,0,64,56,8,0.875,dense,93,0.0078125,0.0021001344086021504,0.1953125,0,48,False
OA64_R8_DENSE,1,64,56,8,0.875,dense,93,0.0078125,0.0020161290322580645,0.1875,0,46,False
OA64_R8_DENSE,2,64,56,8,0.875,dense,93,0.0078125,0.0021001344086021504,0.1953125,0,48,False
OA64_R8_DENSE,3,64,56,8,0.875,dense,93,1.0,0.013356854838709678,1.0,1,47,False
OA64_R8_DENSE,4,64,56,8,0.875,dense,93,0.015625,0.0022681451612903227,0.2109375,0,48,False
OA64_R8_DENSE,5,64,56,8,0.875,dense,93,0.015625,0.0022681451612903227,0.2109375,0,48,False
OA64_R8_DENSE,6,64,56,8,0.875,dense,93,0.0078125,0.0021001344086021504,0.1953125,0,48,False
OA64_R8_DENSE,7,64,56,8,0.875,dense,93,0.00390625,0.0018481182795698926,0.171875,0,44,False
OA64_R8_DENSE,8,64,56,8,0.875,dense,93,0.0078125,0.0021001344086021504,0.1953125,0,48,False
OA64_R8_DENSE,9,64,56,8,0.875,dense,93,0.0078125,0.0021001344086021504,0.1953125,0,48,False
OA64_R8_DENSE,10,64,56,8,0.875,dense,93,0.03125,0.003192204301075269,0.296875,0,54,False
OA64_R8_DENSE,11,64,56,8,0.875,dense,93,0.0078125,0.0021841397849462364,0.203125,0,50,False
OA64_R8_DENSE,12,64,56,8,0.875,dense,93,0.0078125,0.0022681451612903227,0.2109375,0,48,False
OA64_R8_DENSE,13,64,56,8,0.875,dense,93,0.015625,0.0023521505376344087,0.21875,0,50,False
OA64_R8_DENSE,14,64,56,8,0.875,dense,93,0.0078125,0.0021841397849462364,0.203125,0,48,False
OA64_R8_DENSE,15,64,56,8,0.875,dense,93,0.0078125,0.0022681451612903227,0.2109375,0,50,False
OA64_R8_DENSE,16,64,56,8,0.875,dense,93,0.03125,0.0026041666666666665,0.2421875,0,48,False
OA64_R8_DENSE,17,64,56,8,0.875,dense,93,0.0078125,0.0022681451612903227,0.2109375,0,44,False
OA64_R8_DENSE,18,64,56,8,0.875,dense,93,0.0078125,0.0021841397849462364,0.203125,0,50,False
OA64_R8_DENSE,19,64,56,8,0.875,dense,93,0.03125,0.002688172043010753,0.25,0,50,False
OA64_R8_DENSE,20,64,56,8,0.875,dense,93,0.00390625,0.0019321236559139785,0.1796875,0,46,False
OA64_R8_DENSE,21,64,56,8,0.875,dense,93,1.0,0.013272849462365592,1.0,1,53,False
OA64_R8_DENSE,22,64,56,8,0.875,dense,93,0.0078125,0.0021001344086021504,0.1953125,0,48,False
OA64_R8_DENSE,23,64,56,8,0.875,dense,93,0.0625,0.003444220430107527,0.3203125,0,46,False
OA64_R8_DENSE,24,64,56,8,0.875,dense,93,0.015625,0.0026041666666666665,0.2421875,0,52,False
OA64_R8_DENSE,25,64,56,8,0.875,dense,93,0.00390625,0.0018481182795698926,0.171875,0,44,False
OA64_R8_DENSE,26,64,56,8,0.875,dense,93,1.0,0.013020833333333334,1.0,1,47,False
OA64_R8_DENSE,27,64,56,8,0.875,dense,93,1.0,0.013272849462365592,1.0,1,53,False
OA64_R8_DENSE,28,64,56,8,0.875,dense,93,0.0078125,0.0021001344086021504,0.1953125,0,46,False
OA64_R8_DENSE,29,64,56,8,0.875,dense,93,0.00390625,0.0020161290322580645,0.1875,0,48,False
OA64_R8_SPARSE,0,64,56,8,0.875,sparse,93,0.0078125,0.0020161290322580645,0.1875,0,46,False
