experiment,config_id,n,k,rate,family,snr_db,true_slip_prob,model_slip_prob,forced_location_fraction,two_slip_fraction,decoder,trials,errors,bler,bler_wilson_low,bler_wilson_high,cap_rate,certification_rate,median_membership_queries,p90_membership_queries,mean_membership_queries,median_residual_patterns_generated,p90_residual_patterns_generated,mean_residual_patterns_generated,median_latent_queues_touched,p90_latent_queues_touched,mean_latent_queues_touched,median_queue_touch_fraction,p90_queue_touch_fraction,mean_queue_touch_fraction,median_valid_witnesses,p90_valid_witnesses,mean_valid_witnesses,median_unique_codewords_seen,p90_unique_codewords_seen,mean_unique_codewords_seen,median_complete_marginal_scores,p90_complete_marginal_scores,mean_complete_marginal_scores,median_state_codeword_likelihoods,p90_state_codeword_likelihoods,mean_state_codeword_likelihoods,median_wall_seconds,p90_wall_seconds,mean_wall_seconds,median_certificate_query_overhead,p90_certificate_query_overhead,mean_certificate_query_overhead
performance,P32_DENSE_EARLY,32,24,0.75,dense,7.0,1.0,0.5,0.2,0.0,latent_osd_order2,40,8,0.2,0.10499989725437704,0.347573063463995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.5161290322580645,0.5161290322580645,0.5161290322580645,1295.0,1295.0,1295.0,965.0,1057.1,968.875,965.0,1057.1,968.875,29915.0,32770.1,30035.125,0.2751867260085419,0.29400596912018956,0.2740733158483636,,,
performance,P32_DENSE_EARLY,32,24,0.75,dense,7.0,1.0,0.5,0.2,0.0,lsgrand_certified,40,8,0.2,0.10499989725437704,0.347573063463995,0.0,1.0,128.0,646.4000000000001,256.625,128.0,646.4000000000001,256.625,31.0,31.0,31.0,1.0,1.0,1.0,1.5,5.0,2.325,1.0,4.0,2.0,0.0,0.0,0.0,128.0,646.4000000000001,256.625,0.001404050039127469,0.004704971460159868,0.00225722222821787,9.536231884057973,25.46471544715448,17.22857967233073
performance,P32_DENSE_EARLY,32,24,0.75,dense,7.0,1.0,0.5,0.2,0.0,lsgrand_first_valid,40,7,0.175,0.0874541374603592,0.31949990331787714,0.0,0.0,9.0,46.2,23.225,9.0,46.2,23.225,7.0,31.0,15.175,0.22580645161290322,1.0,0.489516129032258,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,46.2,23.225,0.000581773987505585,0.0007500098319724203,0.0006325264985207468,,,
performance,P32_DENSE_EARLY,32,24,0.75,dense,7.0,1.0,0.5,0.2,0.0,per_state_grand_sweep,40,7,0.175,0.0874541374603592,0.31949990331787714,1.0,0.0,5001.5,6196.1,5005.45,5001.5,6196.1,5005.45,31.0,31.0,31.0,1.0,1.0,1.0,24.0,27.0,23.3,18.0,21.1,18.175,0.0,0.0,0.0,5001.5,6196.1,5005.45,0.02366028755204752,0.02919503776356578,0.023894321726402268,,,
performance,P32_DENSE_EARLY,32,24,0.75,dense,7.0,1.0,0.5,0.2,0.0,plain_reliability_grand,40,40,1.0,0.9123783988027135,1.0,0.0,0.0,145.0,540.1,251.225,145.0,540.1,251.225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,145.0,540.1,251.225,0.0007868519751355052,0.0028059355216100814,0.0013227298797573895,,,
performance,P32_SPARSE_EARLY,32,24,0.75,sparse,7.0,1.0,0.5,0.2,0.0,latent_osd_order2,40,5,0.125,0.05459500250945401,0.261121198388511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.5161290322580645,0.5161290322580645,0.5161290322580645,1295.0,1295.0,1295.0,932.5,987.3000000000001,920.775,932.5,987.3000000000001,920.775,28907.5,30606.3,28544.025,0.27809142298065126,0.30428554001264274,0.2770699895714642,,,
performance,P32_SPARSE_EARLY,32,24,0.75,sparse,7.0,1.0,0.5,0.2,0.0,lsgrand_certified,40,5,0.125,0.05459500250945401,0.261121198388511,0.0,1.0,108.0,384.0,304.875,108.0,384.0,304.875,31.0,31.0,31.0,1.0,1.0,1.0,2.0,4.100000000000001,2.875,2.0,3.1000000000000014,2.475,0.0,0.0,0.0,108.0,384.0,304.875,0.0013827685033902526,0.0027815031702630223,0.003054646268719807,10.666666666666666,25.64786324786327,19.285902748601348
performance,P32_SPARSE_EARLY,32,24,0.75,sparse,7.0,1.0,0.5,0.2,0.0,lsgrand_first_valid,40,5,0.125,0.05459500250945401,0.261121198388511,0.0,0.0,8.0,36.300000000000004,16.0,8.0,36.300000000000004,16.0,7.0,31.0,9.725,0.22580645161290322,1.0,0.31370967741935485,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,36.300000000000004,16.0,0.0005889770109206438,0.0006743620149791241,0.0006335721351206303,,,
performance,P32_SPARSE_EARLY,32,24,0.75,sparse,7.0,1.0,0.5,0.2,0.0,per_state_grand_sweep,40,5,0.125,0.05459500250945401,0.261121198388511,1.0,0.0,6294.5,7527.1,6372.75,6294.5,7527.1,6372.75,31.0,31.0,31.0,1.0,1.0,1.0,16.5,20.1,15.425,13.0,16.1,12.325,0.0,0.0,0.0,6294.5,7527.1,6372.75,0.03135254402877763,0.03561966611305252,0.031341804680414496,,,
performance,P32_SPARSE_EARLY,32,24,0.75,sparse,7.0,1.0,0.5,0.2,0.0,plain_reliability_grand,40,40,1.0,0.9123783988027135,1.0,0.0,0.0,472.0,5140.300000000003,1818.575,472.0,5140.300000000003,1818.575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,472.0,5140.300000000003,1818.575,0.0023912175092846155,0.0379844019887969,0.01050187400833238,,,
performance,P64_DENSE_EARLY,64,56,0.875,dense,7.0,1.0,0.5,0.2,0.0,latent_osd_order2,40,20,0.5,0.35199526933465386,0.6480047306653461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.38095238095238093,0.38095238095238093,0.38095238095238093,2607.0,2607.0,2607.0,2297.5,2392.1,2303.125,2297.5,2392.1,2303.125,144742.5,150702.3,145096.875,1.8684223080053926,1.970530754851643,1.867201614988153,,,
performance,P64_DENSE_EARLY,64,56,0.875,dense,7.0,1.0,0.5,0.2,0.0,lsgrand_certified,40,20,0.5,0.35199526933465386,0.6480047306653461,0.025,0.975,1888.0,24912.2,7260.1,1888.0,24912.2,7260.1,63.0,63.0,63.0,1.0,1.0,1.0,7.5,100.2,29.125,7.0,90.0,26.3,0.0,0.0,0.0,1888.0,24912.2,7260.1,0.016367927950341254,0.6471081180265175,0.2190585445438046,34.32867034053977,162.3843649373886,166.96181183345834
performance,P64_DENSE_EARLY,64,56,0.875,dense,7.0,1.0,0.5,0.2,0.0,lsgrand_first_valid,40,20,0.5,0.35199526933465386,0.6480047306653461,0.0,0.0,73.0,338.6,118.8,73.0,338.6,118.8,54.5,63.0,38.05,0.8650793650793651,1.0,0.603968253968254,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,73.0,338.6,118.8,0.0015471610240638256,0.002956212696153671,0.0018042700568912551,,,
performance,P64_DENSE_EARLY,64,56,0.875,dense,7.0,1.0,0.5,0.2,0.0,per_state_grand_sweep,40,20,0.5,0.35199526933465386,0.6480047306653461,0.85,0.0,14702.0,17397.600000000002,15004.2,14702.0,17397.600000000002,15004.2,63.0,63.0,63.0,1.0,1.0,1.0,60.0,63.0,60.025,56.0,59.0,55.475,0.0,0.0,0.0,14702.0,17397.600000000002,15004.2,0.07382112153572962,0.08669742316706107,0.07451085029460955,,,
performance,P64_DENSE_EARLY,64,56,0.875,dense,7.0,1.0,0.5,0.2,0.0,plain_reliability_grand,40,40,1.0,0.9123783988027135,1.0,0.0,0.0,142.0,649.6,240.75,142.0,649.6,240.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,142.0,649.6,240.75,0.0008170025539584458,0.0034193863160908227,0.0013236472092103212,,,
performance,P64_DENSE_MIX,64,56,0.875,dense,6.0,0.2,0.2,,0.0,latent_osd_order2,40,15,0.375,0.24222979167233266,0.5296756086269889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.38095238095238093,0.38095238095238093,0.38095238095238093,2607.0,2607.0,2607.0,2334.0,2422.5,2329.825,2334.0,2422.5,2329.825,147042.0,152617.5,146778.975,1.9842999899410643,2.139006535173394,1.9980484981933841,,,
performance,P64_DENSE_MIX,64,56,0.875,dense,6.0,0.2,0.2,,0.0,lsgrand_certified,40,15,0.375,0.24222979167233266,0.5296756086269889,0.0,1.0,1216.0,21760.000000000007,5729.425,1216.0,21760.000000000007,5729.425,63.0,63.0,50.225,1.0,1.0,0.7972222222222222,6.0,88.40000000000003,24.2,5.0,79.20000000000003,22.3,0.0,0.0,0.0,1216.0,21760.000000000007,5729.425,0.012085299007594585,0.6486390385776761,0.20557242310023865,37.24631268436578,189.70316301703164,67.31391169328609
performance,P64_DENSE_MIX,64,56,0.875,dense,6.0,0.2,0.2,,0.0,lsgrand_first_valid,40,15,0.375,0.24222979167233266,0.5296756086269889,0.0,0.0,26.0,144.7000000000001,62.025,26.0,144.7000000000001,62.025,1.0,39.400000000000006,9.225,0.015873015873015872,0.6253968253968255,0.1464285714285714,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,26.0,144.7000000000001,62.025,0.0014068569871596992,0.0022789992275647824,0.0015823357563931495,,,
performance,P64_DENSE_MIX,64,56,0.875,dense,6.0,0.2,0.2,,0.0,per_state_grand_sweep,40,15,0.375,0.24222979167233266,0.5296756086269889,0.9,0.0,15564.5,19472.600000000002,15656.425,15564.5,19472.600000000002,15656.425,63.0,63.0,63.0,1.0,1.0,1.0,60.0,62.1,59.475,56.0,58.0,54.75,0.0,0.0,0.0,15564.5,19472.600000000002,15656.425,0.08207984850741923,0.09862947788788005,0.08201105197367724,,,
performance,P64_DENSE_MIX,64,56,0.875,dense,6.0,0.2,0.2,,0.0,plain_reliability_grand,40,17,0.425,0.28509392559950375,0.5780493145800892,0.0,0.0,26.0,163.80000000000018,70.325,26.0,163.80000000000018,70.325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,26.0,163.80000000000018,70.325,0.00019827298820018768,0.0009871810441836725,0.0004412274487549439,,,
performance,P64_SPARSE_EARLY,64,56,0.875,sparse,7.0,1.0,0.5,0.2,0.0,latent_osd_order2,40,20,0.5,0.35199526933465386,0.6480047306653461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.38095238095238093,0.38095238095238093,0.38095238095238093,2607.0,2607.0,2607.0,2239.0,2339.5,2222.775,2239.0,2339.5,2222.775,141057.0,147388.5,140034.825,1.8420864399522543,1.965664037282113,1.843323688133387,,,
performance,P64_SPARSE_EARLY,64,56,0.875,sparse,7.0,1.0,0.5,0.2,0.0,lsgrand_certified,40,20,0.5,0.35199526933465386,0.6480047306653461,0.05,0.95,2176.0,18878.200000000008,6838.775,2176.0,18878.200000000008,6838.775,63.0,63.0,63.0,1.0,1.0,1.0,14.5,123.00000000000001,43.525,14.0,116.4,40.475,0.0,0.0,0.0,2176.0,18878.200000000008,6838.775,0.023733824491500854,0.7051719376468102,0.3669011825550115,34.0,333.7428842504745,144.14689622536724
performance,P64_SPARSE_EARLY,64,56,0.875,sparse,7.0,1.0,0.5,0.2,0.0,lsgrand_first_valid,40,19,0.475,0.329354701126789,0.6250263789330753,0.0,0.0,26.0,220.3,115.625,26.0,220.3,115.625,13.0,63.0,29.5,0.20634920634920634,1.0,0.4682539682539682,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,26.0,220.3,115.625,0.0014727639500051737,0.0024076495319604874,0.0019280579639598728,,,
performance,P64_SPARSE_EARLY,64,56,0.875,sparse,7.0,1.0,0.5,0.2,0.0,per_state_grand_sweep,40,19,0.475,0.329354701126789,0.6250263789330753,1.0,0.0,34650.5,38038.1,33799.775,34650.5,38038.1,33799.775,63.0,63.0,63.0,1.0,1.0,1.0,26.5,37.0,26.5,25.0,33.1,23.975,0.0,0.0,0.0,34650.5,38038.1,33799.775,0.17551407852442935,0.19832701632985847,0.1763397483358858,,,
performance,P64_SPARSE_EARLY,64,56,0.875,sparse,7.0,1.0,0.5,0.2,0.0,plain_reliability_grand,40,40,1.0,0.9123783988027135,1.0,0.025,0.0,878.5,16813.600000000002,6505.425,878.5,16813.600000000002,6505.425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,0.975,0.0,0.0,0.0,878.5,16813.600000000002,6505.425,0.0052218264900147915,0.10372464336687699,0.040372012995067055,,,
performance,P64_SPARSE_LATE,64,56,0.875,sparse,6.0,1.0,0.5,0.8,0.0,latent_osd_order2,40,21,0.525,0.3749736210669248,0.670645298873211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.38095238095238093,0.38095238095238093,0.38095238095238093,2607.0,2607.0,2607.0,2220.0,2326.4,2228.3,2220.0,2326.4,2228.3,139860.0,146563.2,140382.9,1.78871644748142,1.8831600799458101,1.785459623875795,,,
performance,P64_SPARSE_LATE,64,56,0.875,sparse,6.0,1.0,0.5,0.8,0.0,lsgrand_certified,40,20,0.5,0.35199526933465386,0.6480047306653461,0.15,0.85,13856.0,50000.0,18667.925,13856.0,50000.0,18667.925,63.0,63.0,63.0,1.0,1.0,1.0,68.0,297.10000000000014,120.8,62.0,274.9000000000001,108.8,0.0,0.0,0.0,13856.0,50000.0,18667.925,0.37313990597613156,4.266621618834326,1.30950706761505,64.09271054493985,565.9464314354451,173.2818180409586
performance,P64_SPARSE_LATE,64,56,0.875,sparse,6.0,1.0,0.5,0.8,0.0,lsgrand_first_valid,40,23,0.575,0.42195068541991065,0.7149060744004962,0.0,0.0,94.5,268.20000000000005,163.275,94.5,268.20000000000005,163.275,53.0,63.0,48.7,0.8412698412698413,1.0,0.7730158730158732,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,94.5,268.20000000000005,163.275,0.0018774275085888803,0.0030245198868215084,0.0021226552169537173,,,
performance,P64_SPARSE_LATE,64,56,0.875,sparse,6.0,1.0,0.5,0.8,0.0,per_state_grand_sweep,40,23,0.575,0.42195068541991065,0.7149060744004962,1.0,0.0,31401.5,40040.9,32142.7,31401.5,40040.9,32142.7,63.0,63.0,63.0,1.0,1.0,1.0,30.5,39.1,29.375,28.0,36.1,26.925,0.0,0.0,0.0,31401.5,40040.9,32142.7,0.1608488589990884,0.2046241418342106,0.16123379803902935,,,
performance,P64_SPARSE_LATE,64,56,0.875,sparse,6.0,1.0,0.5,0.8,0.0,plain_reliability_grand,40,40,1.0,0.9123783988027135,1.0,0.0,0.0,961.5,27537.500000000004,6332.875,961.5,27537.500000000004,6332.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,961.5,27537.500000000004,6332.875,0.005191420030314475,0.15813896935433153,0.038892076173215176,,,
