experiment,config_id,n,k,rate,family,snr_db,true_slip_prob,model_slip_prob,forced_location_fraction,two_slip_fraction,decoder,trials,errors,bler,bler_wilson_low,bler_wilson_high,cap_rate,certification_rate,median_membership_queries,p90_membership_queries,mean_membership_queries,median_residual_patterns_generated,p90_residual_patterns_generated,mean_residual_patterns_generated,median_latent_queues_touched,p90_latent_queues_touched,mean_latent_queues_touched,median_queue_touch_fraction,p90_queue_touch_fraction,mean_queue_touch_fraction,median_valid_witnesses,p90_valid_witnesses,mean_valid_witnesses,median_unique_codewords_seen,p90_unique_codewords_seen,mean_unique_codewords_seen,median_complete_marginal_scores,p90_complete_marginal_scores,mean_complete_marginal_scores,median_state_codeword_likelihoods,p90_state_codeword_likelihoods,mean_state_codeword_likelihoods,median_wall_seconds,p90_wall_seconds,mean_wall_seconds,median_certificate_query_overhead,p90_certificate_query_overhead,mean_certificate_query_overhead
performance,P128_DENSE_EARLY,128,112,0.875,dense,8.0,1.0,0.5,0.2,0.0,latent_osd_order2,20,0,0.0,0.0,0.16112515805281938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0,0.25196850393700787,0.25196850393700787,0.25196850393700776,4511.0,4511.0,4511.0,4103.5,4224.1,4092.65,4103.5,4224.1,4092.65,521144.5,536460.7,519766.55,14.254656394943595,14.942764670006,14.147822017979342,,,
performance,P128_DENSE_EARLY,128,112,0.875,dense,8.0,1.0,0.5,0.2,0.0,lsgrand_certified,20,0,0.0,0.0,0.16112515805281938,0.0,1.0,4896.0,10643.200000000003,5670.4,4896.0,10643.200000000003,5670.4,127.0,127.0,127.0,1.0,1.0,1.0,1.0,2.0,1.25,1.0,2.0,1.15,0.0,0.0,0.0,4896.0,10643.200000000003,5670.4,0.04057609353912994,0.08632754810387272,0.047276531060924755,18.052720650952466,47.7221052631579,25.94566257263859
performance,P128_DENSE_EARLY,128,112,0.875,dense,8.0,1.0,0.5,0.2,0.0,lsgrand_first_valid,20,0,0.0,0.0,0.16112515805281938,0.0,0.0,250.5,614.2000000000002,318.85,250.5,614.2000000000002,318.85,127.0,127.0,91.75,1.0,1.0,0.7224409448818897,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,250.5,614.2000000000002,318.85,0.003996633517090231,0.006591673800721767,0.0045750938530545685,,,
performance,P128_DENSE_EARLY,128,112,0.875,dense,8.0,1.0,0.5,0.2,0.0,per_state_grand_sweep,20,0,0.0,0.0,0.16112515805281938,1.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,67.0,68.0,67.05,0.5275590551181102,0.5354330708661418,0.5279527559055119,4.0,5.100000000000001,3.85,3.0,4.0,2.6,0.0,0.0,0.0,100000.0,100000.0,100000.0,0.5576657010242343,0.5782829529605806,0.5617934384034016,,,
performance,P128_DENSE_EARLY,128,112,0.875,dense,8.0,1.0,0.5,0.2,0.0,plain_reliability_grand,20,20,1.0,0.8388748419471806,1.0,0.2,0.0,60805.5,100000.0,56791.0,60805.5,100000.0,56791.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,0.0,0.0,0.0,60805.5,100000.0,56791.0,0.42822426703060046,0.7388164690579287,0.40229334695031865,,,
performance,P128_SPARSE_EARLY,128,112,0.875,sparse,8.0,1.0,0.5,0.2,0.0,latent_osd_order2,20,2,0.1,0.027866481213768224,0.3010336452284873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0,0.25196850393700787,0.25196850393700787,0.25196850393700776,4511.0,4511.0,4511.0,3906.0,4074.6,3923.85,3906.0,4074.6,3923.85,496062.0,517474.2,498328.95,12.67534670146415,13.772012486169116,12.828196867054794,,,
performance,P128_SPARSE_EARLY,128,112,0.875,sparse,8.0,1.0,0.5,0.2,0.0,lsgrand_certified,20,2,0.1,0.027866481213768224,0.3010336452284873,0.0,1.0,4640.0,38688.00000000002,12473.6,4640.0,38688.00000000002,12473.6,127.0,127.0,127.0,1.0,1.0,1.0,3.0,10.500000000000007,5.65,2.5,10.300000000000004,5.15,0.0,0.0,0.0,4640.0,38688.00000000002,12473.6,0.048783740028738976,0.5473592282505719,0.19645999890053645,43.07080745341615,119.5766136241732,65.38438602796685
performance,P128_SPARSE_EARLY,128,112,0.875,sparse,8.0,1.0,0.5,0.2,0.0,lsgrand_first_valid,20,2,0.1,0.027866481213768224,0.3010336452284873,0.0,0.0,128.0,340.1000000000002,203.55,128.0,340.1000000000002,203.55,30.0,127.0,72.0,0.23622047244094488,1.0,0.5669291338582678,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,128.0,340.1000000000002,203.55,0.0033917714608833194,0.005350072961300613,0.003926257736748084,,,
performance,P128_SPARSE_EARLY,128,112,0.875,sparse,8.0,1.0,0.5,0.2,0.0,per_state_grand_sweep,20,2,0.1,0.027866481213768224,0.3010336452284873,1.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,70.0,73.1,70.55,0.5511811023622047,0.5755905511811024,0.5555118110236222,7.0,11.0,7.6,6.0,9.200000000000003,6.7,0.0,0.0,0.0,100000.0,100000.0,100000.0,0.5655345424893312,0.5951721986406483,0.5675102655251976,,,
performance,P128_SPARSE_EARLY,128,112,0.875,sparse,8.0,1.0,0.5,0.2,0.0,plain_reliability_grand,20,20,1.0,0.8388748419471806,1.0,0.75,0.0,100000.0,100000.0,83234.95,100000.0,100000.0,83234.95,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,0.0,1.0,0.25,0.0,0.0,0.0,100000.0,100000.0,83234.95,0.6977935525355861,0.7691992067964748,0.6098239708167966,,,
