case_id,family,n,k,rate,transform,mean_collision_fraction,max_collision_fraction,mean_fixed_fraction
C12_R067_DENSE,dense,12,8,0.6666666666666666,early_tau2_d1,0.0390625,0.125,0.0
C12_R067_DENSE,dense,12,8,0.6666666666666666,early_tau2_d2,0.0,0.0,0.0
C12_R067_DENSE,dense,12,8,0.6666666666666666,early_tau2_d3,0.0390625,0.125,0.0
C12_R067_DENSE,dense,12,8,0.6666666666666666,global_d1,0.0703125,0.125,0.0
C12_R067_DENSE,dense,12,8,0.6666666666666666,global_d2,0.125,1.0,0.0
C12_R067_DENSE,dense,12,8,0.6666666666666666,global_d3,0.0703125,0.125,0.0
C12_R067_DENSE,dense,12,8,0.6666666666666666,late_tau4_d1,0.0,0.0,0.0
C12_R067_DENSE,dense,12,8,0.6666666666666666,late_tau4_d2,0.0,0.0,0.0
C12_R067_DENSE,dense,12,8,0.6666666666666666,late_tau4_d3,0.0,0.0,0.0
C12_R067_DENSE,dense,12,8,0.6666666666666666,middle_tau3_d1,0.046875,0.25,0.0
C12_R067_DENSE,dense,12,8,0.6666666666666666,middle_tau3_d2,0.25,1.0,0.0
C12_R067_DENSE,dense,12,8,0.6666666666666666,middle_tau3_d3,0.046875,0.25,0.0
C12_R067_SPARSE,sparse,12,8,0.6666666666666666,early_tau2_d1,0.078125,0.125,0.0
C12_R067_SPARSE,sparse,12,8,0.6666666666666666,early_tau2_d2,0.125,1.0,0.0
C12_R067_SPARSE,sparse,12,8,0.6666666666666666,early_tau2_d3,0.078125,0.125,0.0
C12_R067_SPARSE,sparse,12,8,0.6666666666666666,global_d1,0.0625,0.0625,0.0
C12_R067_SPARSE,sparse,12,8,0.6666666666666666,global_d2,0.0,0.0,0.0
C12_R067_SPARSE,sparse,12,8,0.6666666666666666,global_d3,0.0625,0.0625,0.0
C12_R067_SPARSE,sparse,12,8,0.6666666666666666,late_tau4_d1,0.0,0.0,0.0
C12_R067_SPARSE,sparse,12,8,0.6666666666666666,late_tau4_d2,0.0,0.0,0.0
C12_R067_SPARSE,sparse,12,8,0.6666666666666666,late_tau4_d3,0.0,0.0,0.0
C12_R067_SPARSE,sparse,12,8,0.6666666666666666,middle_tau3_d1,0.0625,0.125,0.0
C12_R067_SPARSE,sparse,12,8,0.6666666666666666,middle_tau3_d2,0.0,0.0,0.0
C12_R067_SPARSE,sparse,12,8,0.6666666666666666,middle_tau3_d3,0.0625,0.125,0.0
C16_R075_DENSE,dense,16,12,0.75,early_tau2_d1,0.0625,0.0625,0.0
C16_R075_DENSE,dense,16,12,0.75,early_tau2_d2,0.0,0.0,0.0
C16_R075_DENSE,dense,16,12,0.75,early_tau2_d3,0.0625,0.0625,0.0
C16_R075_DENSE,dense,16,12,0.75,global_d1,0.0625,0.0625,0.0
C16_R075_DENSE,dense,16,12,0.75,global_d2,0.0,0.0,0.0
C16_R075_DENSE,dense,16,12,0.75,global_d3,0.0625,0.0625,0.0
C16_R075_DENSE,dense,16,12,0.75,late_tau6_d1,0.0,0.0,0.0
C16_R075_DENSE,dense,16,12,0.75,late_tau6_d2,0.0,0.0,0.0
C16_R075_DENSE,dense,16,12,0.75,late_tau6_d3,0.0,0.0,0.0
C16_R075_DENSE,dense,16,12,0.75,middle_tau4_d1,0.0625,0.125,0.0
C16_R075_DENSE,dense,16,12,0.75,middle_tau4_d2,0.0,0.0,0.0
C16_R075_DENSE,dense,16,12,0.75,middle_tau4_d3,0.0625,0.125,0.0
C16_R075_SPARSE,sparse,16,12,0.75,early_tau2_d1,0.07291666666666667,0.125,0.0
C16_R075_SPARSE,sparse,16,12,0.75,early_tau2_d2,0.3333333333333333,1.0,0.0
C16_R075_SPARSE,sparse,16,12,0.75,early_tau2_d3,0.07291666666666667,0.125,0.0
C16_R075_SPARSE,sparse,16,12,0.75,global_d1,0.0625,0.0625,0.0
C16_R075_SPARSE,sparse,16,12,0.75,global_d2,0.0,0.0,0.0
C16_R075_SPARSE,sparse,16,12,0.75,global_d3,0.0625,0.0625,0.0
C16_R075_SPARSE,sparse,16,12,0.75,late_tau6_d1,0.0,0.0,0.0
C16_R075_SPARSE,sparse,16,12,0.75,late_tau6_d2,0.0,0.0,0.0
C16_R075_SPARSE,sparse,16,12,0.75,late_tau6_d3,0.0,0.0,0.0
C16_R075_SPARSE,sparse,16,12,0.75,middle_tau4_d1,0.07291666666666667,0.125,0.0
C16_R075_SPARSE,sparse,16,12,0.75,middle_tau4_d2,0.0,0.0,0.0
C16_R075_SPARSE,sparse,16,12,0.75,middle_tau4_d3,0.07291666666666667,0.125,0.0
