config_id,trials,certification_rate,cap_rate,median_queue_touch_fraction,p90_queue_touch_fraction,median_certificate_query_overhead,p90_certificate_query_overhead,median_membership_queries
P128_DENSE_EARLY,20,1.0,0.0,1.0,1.0,18.052720650952466,47.7221052631579,4896.0
P128_SPARSE_EARLY,20,1.0,0.0,1.0,1.0,43.07080745341615,119.5766136241732,4640.0
P32_DENSE_EARLY,40,1.0,0.0,1.0,1.0,9.536231884057973,25.46471544715448,128.0
P32_SPARSE_EARLY,40,1.0,0.0,1.0,1.0,10.666666666666666,25.64786324786327,108.0
P64_DENSE_EARLY,40,0.975,0.025,1.0,1.0,34.32867034053977,162.3843649373886,1888.0
P64_DENSE_MIX,40,1.0,0.0,1.0,1.0,37.24631268436578,189.70316301703164,1216.0
P64_SPARSE_EARLY,40,0.95,0.05,1.0,1.0,34.0,333.7428842504745,2176.0
P64_SPARSE_LATE,40,0.85,0.15,1.0,1.0,64.09271054493985,565.9464314354451,13856.0
