experiment,config_id,n,k,rate,family,snr_db,true_slip_prob,model_slip_prob,forced_location_fraction,two_slip_fraction,decoder,trials,errors,bler,bler_wilson_low,bler_wilson_high,cap_rate,certification_rate,median_membership_queries,p90_membership_queries,mean_membership_queries,median_residual_patterns_generated,p90_residual_patterns_generated,mean_residual_patterns_generated,median_latent_queues_touched,p90_latent_queues_touched,mean_latent_queues_touched,median_queue_touch_fraction,p90_queue_touch_fraction,mean_queue_touch_fraction,median_valid_witnesses,p90_valid_witnesses,mean_valid_witnesses,median_unique_codewords_seen,p90_unique_codewords_seen,mean_unique_codewords_seen,median_complete_marginal_scores,p90_complete_marginal_scores,mean_complete_marginal_scores,median_state_codeword_likelihoods,p90_state_codeword_likelihoods,mean_state_codeword_likelihoods,median_wall_seconds,p90_wall_seconds,mean_wall_seconds,median_certificate_query_overhead,p90_certificate_query_overhead,mean_certificate_query_overhead
mismatch,M32_DENSE_PRIOR_LOW,32,24,0.75,dense,7.0,0.8,0.2,0.25,0.0,latent_osd_order2,36,6,0.16666666666666666,0.07870447595018114,0.31890794311279463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.5161290322580645,0.5161290322580645,0.5161290322580645,1295.0,1295.0,1295.0,953.5,1015.5,955.6111111111111,953.5,1015.5,955.6111111111111,29558.5,31480.5,29623.944444444445,0.31177091103745624,0.34042936051264405,0.31120697576099904,,,
mismatch,M32_DENSE_PRIOR_LOW,32,24,0.75,dense,7.0,0.8,0.2,0.25,0.0,lsgrand_certified,36,6,0.16666666666666666,0.07870447595018114,0.31890794311279463,0.0,1.0,128.0,768.0,463.75,128.0,768.0,463.75,31.0,31.0,26.833333333333332,1.0,1.0,0.8655913978494624,2.0,5.0,3.388888888888889,2.0,4.0,2.9444444444444446,0.0,0.0,0.0,128.0,768.0,463.75,0.0015826619928702712,0.007494086516089737,0.005199711148937543,9.494505494505495,27.2582995951417,16.095903022621766
mismatch,M32_DENSE_PRIOR_LOW,32,24,0.75,dense,7.0,0.8,0.2,0.25,0.0,lsgrand_first_valid,36,5,0.1388888888888889,0.06081815009132838,0.286595303893562,0.0,0.0,12.0,50.5,20.5,12.0,50.5,20.5,9.0,31.0,11.25,0.2903225806451613,1.0,0.3629032258064516,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,50.5,20.5,0.0006512395339086652,0.0009682035306468606,0.000698653124143473,,,
mismatch,M32_DENSE_PRIOR_LOW,32,24,0.75,dense,7.0,0.8,0.2,0.25,0.0,per_state_grand_sweep,36,5,0.1388888888888889,0.06081815009132838,0.286595303893562,1.0,0.0,5729.5,7033.5,5724.333333333333,5729.5,7033.5,5724.333333333333,31.0,31.0,31.0,1.0,1.0,1.0,25.0,29.0,24.77777777777778,19.0,23.0,19.25,0.0,0.0,0.0,5729.5,7033.5,5724.333333333333,0.030166852520778775,0.03717419097665697,0.030766694266478427,,,
mismatch,M32_DENSE_PRIOR_LOW,32,24,0.75,dense,7.0,0.8,0.2,0.25,0.0,plain_reliability_grand,36,30,0.8333333333333334,0.6810920568872054,0.9212955240498188,0.0,0.0,96.0,458.0,213.55555555555554,96.0,458.0,213.55555555555554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,96.0,458.0,213.55555555555554,0.0006204955279827118,0.0025495929876342416,0.001297509326832369,,,
mismatch,M32_SPARSE_PRIOR_HIGH,32,24,0.75,sparse,7.0,0.2,0.8,,0.0,latent_osd_order2,36,4,0.1111111111111111,0.04406640300315648,0.25314808590364857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.5161290322580645,0.5161290322580645,0.5161290322580645,1295.0,1295.0,1295.0,939.5,1038.0,935.5,939.5,1038.0,935.5,29124.5,32178.0,29000.5,0.2727942280471325,0.3045169194811024,0.27560739422268754,,,
mismatch,M32_SPARSE_PRIOR_HIGH,32,24,0.75,sparse,7.0,0.2,0.8,,0.0,lsgrand_certified,36,4,0.1111111111111111,0.04406640300315648,0.25314808590364857,0.0,1.0,64.0,384.0,184.41666666666666,64.0,384.0,184.41666666666666,31.0,31.0,31.0,1.0,1.0,1.0,1.0,3.0,2.0277777777777777,1.0,3.0,1.7777777777777777,0.0,0.0,0.0,64.0,384.0,184.41666666666666,0.0010578769724816084,0.0029087219736538827,0.0019921388593502343,64.0,64.0,48.16735369377606
mismatch,M32_SPARSE_PRIOR_HIGH,32,24,0.75,sparse,7.0,0.2,0.8,,0.0,lsgrand_first_valid,36,4,0.1111111111111111,0.04406640300315648,0.25314808590364857,0.0,0.0,1.0,33.5,13.694444444444445,1.0,33.5,13.694444444444445,1.0,31.0,9.13888888888889,0.03225806451612903,1.0,0.2948028673835126,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,33.5,13.694444444444445,0.0005299695185385644,0.0007255930104292929,0.0005866496616767512,,,
mismatch,M32_SPARSE_PRIOR_HIGH,32,24,0.75,sparse,7.0,0.2,0.8,,0.0,per_state_grand_sweep,36,4,0.1111111111111111,0.04406640300315648,0.25314808590364857,1.0,0.0,8229.5,9337.0,8172.916666666667,8229.5,9337.0,8172.916666666667,31.0,31.0,31.0,1.0,1.0,1.0,14.0,19.0,14.222222222222221,12.0,16.0,11.86111111111111,0.0,0.0,0.0,8229.5,9337.0,8172.916666666667,0.038935771968681365,0.04569534247275442,0.03951163876465418,,,
mismatch,M32_SPARSE_PRIOR_HIGH,32,24,0.75,sparse,7.0,0.2,0.8,,0.0,plain_reliability_grand,36,9,0.25,0.13750477662994837,0.4107045376672835,0.0,0.0,1.0,2535.5,644.3611111111111,1.0,2535.5,644.3611111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2535.5,644.3611111111111,3.519997699186206e-05,0.01455070247175172,0.003497309905166427,,,
