experiment,config_id,trial_uid,n,k,rate,family,snr_db,transmitted_int,decoder,decoded_int,decoded_correct,true_slip_prob,model_slip_prob,forced_location_fraction,two_slip_fraction,assumed_noise_offset_db,true_state_label,model_contains_true_path,state_hypothesis_count,code_replicate,trial_index,success,certified,certificate_margin_log,stop_reason,membership_queries,residual_patterns_generated,latent_hypotheses_available,latent_queues_touched,valid_witnesses,unique_codewords_seen,complete_marginal_scores,state_codeword_likelihoods,cap_hit,wall_seconds,winner_partial_logscore,oracle_first_seen_query,certificate_query_overhead,queue_touch_fraction
performance,P32_DENSE_EARLY,P32_DENSE_EARLY_c0_t0,32,24,0.75,dense,7.0,2015226430,lsgrand_certified,2015226430.0,True,1.0,0.5,0.2,0.0,0.0,slip_3_1,True,31,0,0,True,True,0.9738660454156101,strict_unseen_codeword_certificate,128,128,31,31,1,1,0,128,False,0.0013538339408114552,-13.990658424748831,8.0,16.0,1.0
performance,P32_DENSE_EARLY,P32_DENSE_EARLY_c0_t0,32,24,0.75,dense,7.0,2015226430,lsgrand_first_valid,2015226430.0,True,1.0,0.5,0.2,0.0,0.0,slip_3_1,True,31,0,0,True,False,,first_valid_witness,8,8,31,6,1,1,0,8,False,0.0005446330178529024,-13.990658424748831,,,0.1935483870967742
performance,P32_DENSE_EARLY,P32_DENSE_EARLY_c0_t0,32,24,0.75,dense,7.0,2015226430,per_state_grand_sweep,2015226430.0,True,1.0,0.5,0.2,0.0,0.0,slip_3_1,True,31,0,0,True,False,,best_fixed_state_codeword,6641,6641,31,31,19,16,0,6641,True,0.0318181689362973,-13.990658424748831,,,1.0
performance,P32_DENSE_EARLY,P32_DENSE_EARLY_c0_t0,32,24,0.75,dense,7.0,2015226430,plain_reliability_grand,2055520147.0,False,1.0,0.5,0.2,0.0,0.0,slip_3_1,True,31,0,0,True,False,,first_valid_witness,315,315,1,1,1,1,0,315,False,0.001696459949016571,-25.343987092012725,,,1.0
performance,P32_DENSE_EARLY,P32_DENSE_EARLY_c0_t0,32,24,0.75,dense,7.0,2015226430,latent_osd_order2,2015226430.0,True,1.0,0.5,0.2,0.0,0.0,slip_3_1,True,31,0,0,True,False,,best_complete_marginal_score_in_osd_list,0,0,31,16,1295,998,998,30938,False,0.2901942360913381,-13.99065746675913,,,0.5161290322580645
performance,P32_DENSE_EARLY,P32_DENSE_EARLY_c0_t1,32,24,0.75,dense,7.0,74427073,lsgrand_certified,74427073.0,True,1.0,0.5,0.2,0.0,0.0,slip_3_3,True,31,0,1,True,True,0.21899296627615428,strict_unseen_codeword_certificate,64,64,31,31,2,2,0,64,False,0.001050787977874279,-4.581379194785734,8.0,8.0,1.0
performance,P32_DENSE_EARLY,P32_DENSE_EARLY_c0_t1,32,24,0.75,dense,7.0,74427073,lsgrand_first_valid,74427073.0,True,1.0,0.5,0.2,0.0,0.0,slip_3_3,True,31,0,1,True,False,,first_valid_witness,8,8,31,7,1,1,0,8,False,0.0006612829165533185,-4.581379194785734,,,0.22580645161290322
performance,P32_DENSE_EARLY,P32_DENSE_EARLY_c0_t1,32,24,0.75,dense,7.0,74427073,per_state_grand_sweep,74427073.0,True,1.0,0.5,0.2,0.0,0.0,slip_3_3,True,31,0,1,True,False,,best_fixed_state_codeword,4628,4628,31,31,23,17,0,4628,True,0.023263511015102267,-4.581379194785734,,,1.0
performance,P32_DENSE_EARLY,P32_DENSE_EARLY_c0_t1,32,24,0.75,dense,7.0,74427073,plain_reliability_grand,76152983.0,False,1.0,0.5,0.2,0.0,0.0,slip_3_3,True,31,0,1,True,False,,first_valid_witness,209,209,1,1,1,1,0,209,False,0.0012092669494450092,-17.381273287576676,,,1.0
performance,P32_DENSE_EARLY,P32_DENSE_EARLY_c0_t1,32,24,0.75,dense,7.0,74427073,latent_osd_order2,74427073.0,True,1.0,0.5,0.2,0.0,0.0,slip_3_3,True,31,0,1,True,False,,best_complete_marginal_score_in_osd_list,0,0,31,16,1295,979,979,30349,False,0.2769961169688031,-4.581293439901193,,,0.5161290322580645
