code,family,n,k,rate,transform,colliding_codewords,collision_fraction,fixed_codewords,fixed_fraction,max_image_multiplicity,case_id,code_replicate
random_sparse_12_8,sparse,12,8,0.6666666666666666,middle_tau3_d3,0,0.0,0,0.0,1,C12_R067_SPARSE,7
random_sparse_12_8,sparse,12,8,0.6666666666666666,late_tau4_d1,0,0.0,0,0.0,1,C12_R067_SPARSE,7
random_sparse_12_8,sparse,12,8,0.6666666666666666,late_tau4_d2,0,0.0,0,0.0,1,C12_R067_SPARSE,7
random_sparse_12_8,sparse,12,8,0.6666666666666666,late_tau4_d3,0,0.0,0,0.0,1,C12_R067_SPARSE,7
random_dense_16_12,dense,16,12,0.75,global_d1,256,0.0625,0,0.0,1,C16_R075_DENSE,0
random_dense_16_12,dense,16,12,0.75,global_d2,0,0.0,0,0.0,1,C16_R075_DENSE,0
random_dense_16_12,dense,16,12,0.75,global_d3,256,0.0625,0,0.0,1,C16_R075_DENSE,0
random_dense_16_12,dense,16,12,0.75,early_tau2_d1,256,0.0625,0,0.0,1,C16_R075_DENSE,0
random_dense_16_12,dense,16,12,0.75,early_tau2_d2,0,0.0,0,0.0,1,C16_R075_DENSE,0
random_dense_16_12,dense,16,12,0.75,early_tau2_d3,256,0.0625,0,0.0,1,C16_R075_DENSE,0
random_dense_16_12,dense,16,12,0.75,middle_tau4_d1,256,0.0625,0,0.0,1,C16_R075_DENSE,0
random_dense_16_12,dense,16,12,0.75,middle_tau4_d2,0,0.0,0,0.0,1,C16_R075_DENSE,0
random_dense_16_12,dense,16,12,0.75,middle_tau4_d3,256,0.0625,0,0.0,1,C16_R075_DENSE,0
random_dense_16_12,dense,16,12,0.75,late_tau6_d1,0,0.0,0,0.0,1,C16_R075_DENSE,0
random_dense_16_12,dense,16,12,0.75,late_tau6_d2,0,0.0,0,0.0,1,C16_R075_DENSE,0
random_dense_16_12,dense,16,12,0.75,late_tau6_d3,0,0.0,0,0.0,1,C16_R075_DENSE,0
random_dense_16_12,dense,16,12,0.75,global_d1,256,0.0625,0,0.0,1,C16_R075_DENSE,1
random_dense_16_12,dense,16,12,0.75,global_d2,0,0.0,0,0.0,1,C16_R075_DENSE,1
random_dense_16_12,dense,16,12,0.75,global_d3,256,0.0625,0,0.0,1,C16_R075_DENSE,1
random_dense_16_12,dense,16,12,0.75,early_tau2_d1,256,0.0625,0,0.0,1,C16_R075_DENSE,1
random_dense_16_12,dense,16,12,0.75,early_tau2_d2,0,0.0,0,0.0,1,C16_R075_DENSE,1
random_dense_16_12,dense,16,12,0.75,early_tau2_d3,256,0.0625,0,0.0,1,C16_R075_DENSE,1
random_dense_16_12,dense,16,12,0.75,middle_tau4_d1,256,0.0625,0,0.0,1,C16_R075_DENSE,1
random_dense_16_12,dense,16,12,0.75,middle_tau4_d2,0,0.0,0,0.0,1,C16_R075_DENSE,1
random_dense_16_12,dense,16,12,0.75,middle_tau4_d3,256,0.0625,0,0.0,1,C16_R075_DENSE,1
random_dense_16_12,dense,16,12,0.75,late_tau6_d1,0,0.0,0,0.0,1,C16_R075_DENSE,1
random_dense_16_12,dense,16,12,0.75,late_tau6_d2,0,0.0,0,0.0,1,C16_R075_DENSE,1
random_dense_16_12,dense,16,12,0.75,late_tau6_d3,0,0.0,0,0.0,1,C16_R075_DENSE,1
random_dense_16_12,dense,16,12,0.75,global_d1,256,0.0625,0,0.0,1,C16_R075_DENSE,2
random_dense_16_12,dense,16,12,0.75,global_d2,0,0.0,0,0.0,1,C16_R075_DENSE,2
random_dense_16_12,dense,16,12,0.75,global_d3,256,0.0625,0,0.0,1,C16_R075_DENSE,2
random_dense_16_12,dense,16,12,0.75,early_tau2_d1,256,0.0625,0,0.0,1,C16_R075_DENSE,2
random_dense_16_12,dense,16,12,0.75,early_tau2_d2,0,0.0,0,0.0,1,C16_R075_DENSE,2
random_dense_16_12,dense,16,12,0.75,early_tau2_d3,256,0.0625,0,0.0,1,C16_R075_DENSE,2
random_dense_16_12,dense,16,12,0.75,middle_tau4_d1,512,0.125,0,0.0,1,C16_R075_DENSE,2
random_dense_16_12,dense,16,12,0.75,middle_tau4_d2,0,0.0,0,0.0,1,C16_R075_DENSE,2
random_dense_16_12,dense,16,12,0.75,middle_tau4_d3,512,0.125,0,0.0,1,C16_R075_DENSE,2
random_dense_16_12,dense,16,12,0.75,late_tau6_d1,0,0.0,0,0.0,1,C16_R075_DENSE,2
