experiment,case_id,trial_id,n,k,rate,family,snr_db,true_label,states,full_cartesian_pairs,oracle_marginal_int,oracle_joint_int,transmitted_int,oracle_tie,oracle_margin_log,certified,ls_decoded_int,ls_matches_marginal,certificate_verified,first_decoded_int,first_matches_marginal,joint_matches_marginal,marginal_error,joint_error,first_error,direct_probability_check,membership_queries,query_fraction_of_cartesian,latent_queues_touched,queue_touch_fraction,valid_witnesses,unique_codewords_seen,certificate_query_overhead,certificate_margin_log,ls_cap_hit,ls_wall_seconds,first_queries,first_wall_seconds
exactness,E10_DENSE,14,10,7,0.7,dense,5.0,no_slip,9,9216,299,299,299,False,3.443294161122197,True,299,True,True,299,True,True,False,False,False,True,13,0.0014105902777777778,8,0.8888888888888888,1,1,6.5,0.01941090610239904,False,0.00036167597863823175,2,0.00016561697702854872
exactness,E10_DENSE,15,10,7,0.7,dense,-1.0,slip_1_1,9,9216,646,646,72,False,0.7424255121647771,True,646,True,True,646,True,True,True,True,True,True,57,0.006184895833333333,9,1.0,8,7,57.0,0.010760100712738918,False,0.0020001400262117386,1,0.00019564502872526646
exactness,E10_DENSE,16,10,7,0.7,dense,3.0,slip_4_1,9,9216,988,983,988,False,0.008266678343751721,True,988,True,True,983,False,False,False,True,True,True,189,0.0205078125,9,1.0,22,15,21.0,0.0005371844884631827,False,0.010042362031526864,8,0.00022600300144404173
exactness,E10_DENSE,17,10,7,0.7,dense,-1.0,no_slip,9,9216,577,577,865,False,0.38049340586498737,True,577,True,True,577,True,True,True,True,True,True,153,0.0166015625,9,1.0,21,15,76.5,0.0006622241016760455,False,0.010259701986797154,2,0.0001977820647880435
exactness,E10_DENSE,18,10,7,0.7,dense,7.0,no_slip,9,9216,108,108,108,False,0.8332160011902214,True,108,True,True,108,True,True,False,False,False,True,12,0.0013020833333333333,9,1.0,3,3,6.0,0.007923067917491089,False,0.0004625440342351794,2,0.00017710705287754536
exactness,E10_DENSE,19,10,7,0.7,dense,7.0,no_slip,9,9216,436,436,402,False,1.4450271753870219,True,436,True,True,436,True,True,True,True,True,True,15,0.0016276041666666667,9,1.0,1,1,2.142857142857143,0.25864690202706786,False,0.00035399000626057386,7,0.0001888810656964779
exactness,E10_DENSE,20,10,7,0.7,dense,1.0,no_slip,9,9216,559,559,679,False,0.6481920913976422,True,559,True,True,559,True,True,True,True,True,True,51,0.005533854166666667,9,1.0,7,5,12.75,0.0013066133143082581,False,0.0014027149882167578,4,0.00018142408225685358
exactness,E10_DENSE,21,10,7,0.7,dense,5.0,no_slip,9,9216,962,962,962,False,4.366570381494369,True,962,True,True,962,True,True,False,False,False,True,10,0.0010850694444444445,9,1.0,1,1,5.0,0.1227495997203416,False,0.0002957980614155531,2,0.0001640670234337449
exactness,E10_DENSE,22,10,7,0.7,dense,3.0,slip_3_1,9,9216,558,558,560,False,0.3261398721161193,True,558,True,True,558,True,True,True,True,True,True,41,0.004448784722222222,9,1.0,6,5,10.25,0.0626014656663001,False,0.0013953710440546274,4,0.00019953690934926271
exactness,E10_DENSE,23,10,7,0.7,dense,5.0,slip_1_1,9,9216,77,77,77,False,2.8010244900072374,True,77,True,True,77,True,True,False,False,False,True,10,0.0010850694444444445,9,1.0,1,1,5.0,0.004977051391418463,False,0.00029613706283271313,2,0.00016200589016079903
exactness,E10_DENSE,24,10,7,0.7,dense,3.0,slip_4_3,9,9216,490,490,227,False,1.0330968021062734,True,490,True,True,490,True,True,True,True,True,True,33,0.0035807291666666665,9,1.0,4,4,33.0,0.014695653571770606,False,0.0008434000192210078,1,0.0001621129922568798
exactness,E10_DENSE,25,10,7,0.7,dense,-1.0,slip_2_1,9,9216,156,406,88,False,0.062317811090887076,True,156,True,True,406,False,False,True,True,True,True,827,0.08973524305555555,9,1.0,105,60,29.535714285714285,0.00035230965271182413,False,0.15057814598549157,9,0.000281953951343894
exactness,E10_DENSE,26,10,7,0.7,dense,3.0,no_slip,9,9216,868,868,868,False,2.2816430207317664,True,868,True,True,868,True,True,False,False,False,True,2,0.00021701388888888888,1,0.1111111111111111,1,1,2.0,0.11268338181796178,False,0.0002206179779022932,1,0.0001569580053910613
exactness,E10_DENSE,27,10,7,0.7,dense,-1.0,no_slip,9,9216,406,406,190,False,1.374705764771301,True,406,True,True,406,True,True,True,True,True,True,60,0.006510416666666667,9,1.0,8,7,10.0,0.0035914673097998673,False,0.001892997999675572,6,0.00019273592624813318
exactness,E10_DENSE,28,10,7,0.7,dense,5.0,no_slip,9,9216,624,624,624,False,2.162652681998722,True,624,True,True,624,True,True,False,False,False,True,1,0.00010850694444444444,1,0.1111111111111111,1,1,1.0,0.03048741859356152,False,0.00019416806753724813,1,0.00015254796016961336
exactness,E10_DENSE,29,10,7,0.7,dense,7.0,no_slip,9,9216,581,581,581,False,8.052893262880207,True,581,True,True,581,True,True,False,False,False,True,1,0.00010850694444444444,1,0.1111111111111111,1,1,1.0,0.1945069014393459,False,0.0002094340743497014,1,0.000208580051548779
exactness,E10_SPARSE,30,10,7,0.7,sparse,5.0,no_slip,9,9216,224,224,224,False,4.997677123352841,True,224,True,True,224,True,True,False,False,False,True,1,0.00010850694444444444,1,0.1111111111111111,1,1,1.0,0.12459204387970857,False,0.00022836297284811735,1,0.00017362891230732203
exactness,E10_SPARSE,31,10,7,0.7,sparse,1.0,slip_3_1,9,9216,124,124,367,False,1.3844847891968044,True,124,True,True,124,True,True,True,True,True,True,45,0.0048828125,9,1.0,5,4,7.5,0.002330227670652718,False,0.0011571430368348956,6,0.00019808497745543718
